collection,method,act_rate,mean_T,wrong_cert_rate
antique,loo_boot,0.9966666666666667,67.6,0.11333333333333333
antique,loo_sim,0.9933333333333333,77.16666666666667,0.11
antique,recal_bp,0.9733333333333334,102.2,0.0
antique,recal_bpu,0.0,150.0,0.0
antique,recal_bpx,0.95,112.8,0.0
antique,recal_bpxu,0.0,150.0,0.0
antique,recal_ep,0.99,81.63333333333334,0.0033333333333333335
antique,split_auto,0.6033333333333334,126.33333333333333,0.0033333333333333335
antique,split_fp,0.0,150.0,0.0
antique,split_fp_ppi,0.0,150.0,0.0
antique,split_ppi,0.5166666666666667,122.16666666666667,0.006666666666666667
antique,split_t,0.6033333333333334,126.33333333333333,0.0033333333333333335
