collection,judge,noise,rho,T,N_unlab,eps,act_t,act_ppi,ratio,wrong_t,wrong_ppi
dbpedia-entity,llm,0.0,0.6405896993445578,60,50,0.005,0.15666666666666668,0.17333333333333334,1.1063829787234043,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,50,0.01,0.18333333333333332,0.19333333333333333,1.0545454545454545,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,50,0.02,0.38,0.41333333333333333,1.087719298245614,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,50,0.05,0.7933333333333333,0.74,0.9327731092436975,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,100,0.005,0.16,0.17666666666666667,1.1041666666666667,0.0033333333333333335,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,100,0.01,0.19333333333333333,0.2633333333333333,1.3620689655172413,0.0033333333333333335,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,100,0.02,0.37,0.42,1.135135135135135,0.01,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,100,0.05,0.8166666666666667,0.82,1.0040816326530613,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,200,0.005,0.18,0.24,1.3333333333333333,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,200,0.01,0.20666666666666667,0.31333333333333335,1.5161290322580645,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.0,0.6405896993445578,60,200,0.02,0.31666666666666665,0.42,1.3263157894736841,0.0033333333333333335,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,200,0.05,0.7566666666666667,0.7866666666666666,1.039647577092511,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,300,0.005,0.17,0.2833333333333333,1.6666666666666667,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,300,0.01,0.19333333333333333,0.30666666666666664,1.5862068965517242,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,60,300,0.02,0.37666666666666665,0.49333333333333335,1.3097345132743363,0.0,0.0033333333333333335
dbpedia-entity,llm,0.0,0.6405896993445578,60,300,0.05,0.8333333333333334,0.87,1.044,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,50,0.005,0.31,0.3,0.967741935483871,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,50,0.01,0.35,0.3433333333333333,0.9809523809523809,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,50,0.02,0.5333333333333333,0.5166666666666667,0.96875,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,50,0.05,0.92,0.8766666666666667,0.9528985507246377,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,100,0.005,0.2866666666666667,0.33666666666666667,1.1744186046511629,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,100,0.01,0.33666666666666667,0.4633333333333333,1.3762376237623761,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,100,0.02,0.5433333333333333,0.6366666666666667,1.1717791411042944,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,100,0.05,0.9266666666666666,0.9,0.9712230215827338,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,200,0.005,0.2866666666666667,0.39,1.3604651162790697,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,200,0.01,0.4066666666666667,0.51,1.2540983606557377,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,200,0.02,0.58,0.7233333333333334,1.2471264367816093,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,200,0.05,0.92,0.92,1.0,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,300,0.005,0.26666666666666666,0.4066666666666667,1.525,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,300,0.01,0.32666666666666666,0.4533333333333333,1.3877551020408163,0.0,0.0
dbpedia-entity,llm,0.0,0.6405896993445578,90,300,0.02,0.5666666666666667,0.7433333333333333,1.311764705882353,0.0,0.0033333333333333335
