collection,judge,noise,rho,T,N_unlab,eps,act_t,act_ppi,ratio,wrong_t,wrong_ppi
dl212223,llm,0.0,0.464334953855085,60,50,0.005,0.44333333333333336,0.39,0.8796992481203008,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,50,0.01,0.5666666666666667,0.5033333333333333,0.888235294117647,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,50,0.02,0.7366666666666667,0.69,0.9366515837104072,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,50,0.05,0.9933333333333333,0.9566666666666667,0.9630872483221476,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,100,0.005,0.4266666666666667,0.43,1.0078125,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,100,0.01,0.5766666666666667,0.5366666666666666,0.930635838150289,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,100,0.02,0.74,0.7166666666666667,0.9684684684684685,0.0,0.0
dl212223,llm,0.0,0.464334953855085,60,100,0.05,0.9966666666666667,0.9466666666666667,0.9498327759197325,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,50,0.005,0.7233333333333334,0.6366666666666667,0.880184331797235,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,50,0.01,0.82,0.78,0.9512195121951219,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,50,0.02,0.92,0.9066666666666666,0.9855072463768116,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,50,0.05,1.0,1.0,1.0,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,100,0.005,0.67,0.7,1.044776119402985,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,100,0.01,0.8166666666666667,0.8166666666666667,1.0,0.0,0.0
dl212223,llm,0.0,0.464334953855085,90,100,0.02,0.92,0.92,1.0,0.0,0.0033333333333333335
dl212223,llm,0.0,0.464334953855085,90,100,0.05,1.0,1.0,1.0,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,60,50,0.005,0.4266666666666667,0.38333333333333336,0.8984375,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,60,50,0.01,0.49333333333333335,0.45,0.9121621621621622,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,60,50,0.02,0.6933333333333334,0.6433333333333333,0.9278846153846154,0.0,0.0033333333333333335
dl212223,llm,0.3,0.4049277454616207,60,50,0.05,0.9933333333333333,0.9433333333333334,0.9496644295302014,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,60,100,0.005,0.44,0.4066666666666667,0.9242424242424242,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,60,100,0.01,0.55,0.48333333333333334,0.8787878787878788,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,60,100,0.02,0.7933333333333333,0.7166666666666667,0.9033613445378151,0.0033333333333333335,0.0
dl212223,llm,0.3,0.4049277454616207,60,100,0.05,1.0,0.9866666666666667,0.9866666666666667,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,50,0.005,0.6533333333333333,0.6366666666666667,0.9744897959183674,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,50,0.01,0.7966666666666666,0.7233333333333334,0.9079497907949791,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,50,0.02,0.9433333333333334,0.8966666666666666,0.950530035335689,0.0,0.0
