collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
antique,llm,15,0.03,static_sum,80,pilot,0.97,0.0,1.0,0.97,0.03,0.03,0.0,2919.7466666666664,2529.8566666666666,389.8899999999999,0.0,467.5690021905917,0.5781784838692313,full,t,False
antique,llm,15,0.03,oracle_exact,80,pilot,0.9866666666666667,0.0,1.0,0.9866666666666667,0.03,0.03,0.0,2919.5133333333333,2529.8566666666666,389.65666666666675,0.0,312.0787786709419,0.5781784838692313,full,t,False
antique,llm,15,0.03,plugin_exact,80,pilot,0.9866666666666667,0.0,1.0,0.9866666666666667,0.03,0.03,0.0,2921.14,2529.8566666666666,391.2833333333333,0.0,365.2274819412846,0.5781784838692313,full,t,False
antique,llm,15,0.03,per_pair,80,pilot,0.6566666666666666,0.0,1.0,0.6566666666666666,0.03,0.03,0.0,2911.76,2529.8566666666666,381.90333333333365,0.0,,0.5781784838692313,full,t,False
