collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dl212223,llm,20,0.03,static_sum,80,pilot,1.0,0.0,1.0,1.0,0.03,0.03,0.0,6645.036666666667,5554.843333333333,1090.1933333333336,0.0,345.3475763067814,0.8356846722069249,full,t,False
dl212223,llm,20,0.03,oracle_exact,80,pilot,1.0,0.0,1.0,1.0,0.03,0.03,0.0,6646.346666666666,5554.843333333333,1091.503333333333,0.0,234.9697870619878,0.8356846722069249,full,t,False
dl212223,llm,20,0.03,plugin_exact,80,pilot,1.0,0.0,1.0,1.0,0.03,0.03,0.0,6645.573333333334,5554.843333333333,1090.7300000000005,0.0,278.18636537657886,0.8356846722069249,full,t,False
dl212223,llm,20,0.03,per_pair,80,pilot,0.85,0.0,1.0,0.85,0.03,0.03,0.0,6637.076666666667,5554.843333333333,1082.2333333333336,0.0,,0.8356846722069249,full,t,False
