collection,judge,budget_full_eq,eps,method,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dl212223,llm,5,0.01,static_sum,0.07,0.0,0.8733333333333333,0.08015267175572519,0.01,0.01,0.0,1770.7133333333334,1389.2866666666666,381.42666666666673,0.0,530665.6383604868,0.8169273351117325,full,t,False
dl212223,llm,5,0.01,static_sum_v,0.07666666666666666,0.0,0.8733333333333333,0.08778625954198473,0.01,0.01,0.0,1771.03,1389.2866666666666,381.74333333333334,0.0,490799.5248193071,0.8169273351117325,full,t,False
dl212223,llm,5,0.01,oracle_exact,0.09333333333333334,0.0,0.8733333333333333,0.10687022900763359,0.01,0.01,0.0,1771.7933333333333,1389.2866666666666,382.50666666666666,0.0,273877.6812258039,0.8169273351117325,full,t,False
dl212223,llm,5,0.01,plugin_exact,0.09,0.0,0.8733333333333333,0.10305343511450382,0.01,0.01,0.0,1772.3966666666668,1389.2866666666666,383.1100000000001,0.0,3605354.8233998977,0.8169273351117325,full,t,False
dl212223,llm,5,0.02,static_sum,0.09666666666666666,0.0,0.89,0.10861423220973783,0.02,0.02,0.00749063670411985,1768.4566666666667,1388.77,379.6866666666667,0.0,411343.67172612983,0.8306190062157898,full,t,False
dl212223,llm,5,0.02,static_sum_v,0.11,0.0,0.89,0.12359550561797752,0.02,0.02,0.00749063670411985,1770.5366666666666,1388.77,381.76666666666665,0.0,379632.00390253065,0.8306190062157898,full,t,False
dl212223,llm,5,0.02,oracle_exact,0.15666666666666668,0.0,0.89,0.1760299625468165,0.02,0.02,0.00749063670411985,1771.3933333333334,1388.77,382.62333333333345,0.0,173628.0308549132,0.8306190062157898,full,t,False
dl212223,llm,5,0.02,plugin_exact,0.16,0.0,0.89,0.1797752808988764,0.02,0.02,0.00749063670411985,1770.94,1388.77,382.1700000000001,0.0,1126868.6942497322,0.8306190062157898,full,t,False
dl212223,llm,10,0.01,static_sum,0.14,0.0,0.84,0.16666666666666666,0.01,0.01,0.0,1965.5033333333333,1389.15,576.3533333333332,0.0,369193.52608266333,0.8271259283017178,full,t,False
dl212223,llm,10,0.01,static_sum_v,0.15333333333333332,0.0,0.84,0.18253968253968253,0.01,0.01,0.0,1963.6966666666667,1389.15,574.5466666666666,0.0,338933.42546578567,0.8271259283017178,full,t,False
dl212223,llm,10,0.01,oracle_exact,0.17,0.0,0.84,0.20238095238095238,0.01,0.01,0.0,1964.3933333333334,1389.15,575.2433333333333,0.0,164770.01837451797,0.8271259283017178,full,t,False
dl212223,llm,10,0.01,plugin_exact,0.15666666666666668,0.0,0.84,0.1865079365079365,0.01,0.01,0.0,1963.85,1389.15,574.6999999999998,0.0,708504.9501085147,0.8271259283017178,full,t,False
dl212223,llm,10,0.02,static_sum,0.21666666666666667,0.0,0.86,0.25193798449612403,0.02,0.02,0.007751937984496124,1966.46,1389.7833333333333,576.6766666666667,0.0,383643.0870683231,0.8182487743639477,full,t,False
dl212223,llm,10,0.02,static_sum_v,0.26,0.0,0.86,0.3023255813953488,0.02,0.02,0.007751937984496124,1965.8066666666666,1389.7833333333333,576.0233333333333,0.0,354568.15421860124,0.8182487743639477,full,t,False
dl212223,llm,10,0.02,oracle_exact,0.30666666666666664,0.0,0.86,0.35658914728682173,0.02,0.02,0.007751937984496124,1965.9,1389.7833333333333,576.1166666666668,0.0,192714.02740587757,0.8182487743639477,full,t,False
dl212223,llm,10,0.02,plugin_exact,0.25,0.0,0.86,0.29069767441860467,0.02,0.02,0.007751937984496124,1970.2,1389.7833333333333,580.4166666666667,0.0,6578809.029365607,0.8182487743639477,full,t,False
dl212223,llm,15,0.01,static_sum,0.2733333333333333,0.0,0.84,0.3253968253968254,0.01,0.01,0.0,2323.786666666667,1385.3433333333332,938.4433333333336,0.0,197570.6749756144,0.831605572185756,full,t,False
dl212223,llm,15,0.01,static_sum_v,0.31,0.0,0.84,0.36904761904761907,0.01,0.01,0.0,2322.96,1385.3433333333332,937.6166666666668,0.0,182246.08353703655,0.831605572185756,full,t,False
dl212223,llm,15,0.01,oracle_exact,0.31666666666666665,0.0,0.84,0.376984126984127,0.01,0.01,0.0,2321.8,1385.3433333333332,936.4566666666669,0.0,80077.95390833437,0.831605572185756,full,t,False
dl212223,llm,15,0.01,plugin_exact,0.3566666666666667,0.0,0.84,0.4246031746031746,0.01,0.01,0.0,2323.57,1385.3433333333332,938.2266666666669,0.0,542031.5178161626,0.831605572185756,full,t,False
