collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,20,0.01,static_sum,40,pilot,0.03666666666666667,0.0,0.9266666666666666,0.039568345323741004,0.008523535883341862,0.01,0.10071942446043165,2571.4366666666665,1954.5433333333333,616.8933333333332,0.0,73388.95770384587,0.5756380263804304,full,t,False
cast19,llm,20,0.01,oracle_exact,40,pilot,0.03333333333333333,0.0,0.9266666666666666,0.03597122302158273,0.008523535883341862,0.01,0.10071942446043165,2570.943333333333,1954.5433333333333,616.3999999999999,0.0,43016.783905325254,0.5756380263804304,full,t,False
cast19,llm,20,0.01,plugin_exact,40,pilot,0.016666666666666666,0.0,0.9266666666666666,0.017985611510791366,0.008523535883341862,0.01,0.10071942446043165,2572.943333333333,1954.5433333333333,618.3999999999999,0.0,1259936.9323165999,0.5756380263804304,full,t,False
cast19,llm,20,0.01,per_pair,40,pilot,0.0,0.0,0.9266666666666666,0.0,0.008523535883341862,0.01,0.10071942446043165,2557.77,1954.5433333333333,603.2266666666667,0.0,,0.5756380263804304,full,t,False
cast19,llm,20,0.02,static_sum,40,pilot,0.07,0.0,0.97,0.07216494845360824,0.018523535883341862,0.02,0.03436426116838488,2568.6966666666667,1953.19,615.5066666666667,0.0,22568.453283321043,0.5525454046033847,full,t,False
cast19,llm,20,0.02,oracle_exact,40,pilot,0.07666666666666666,0.0,0.97,0.07903780068728522,0.018523535883341862,0.02,0.03436426116838488,2568.8333333333335,1953.19,615.6433333333334,0.0,13517.453639490359,0.5525454046033847,full,t,False
cast19,llm,20,0.02,plugin_exact,40,pilot,0.08666666666666667,0.0,0.97,0.08934707903780069,0.018523535883341862,0.02,0.03436426116838488,2567.6566666666668,1953.19,614.4666666666667,0.0,56321.192773733164,0.5525454046033847,full,t,False
cast19,llm,20,0.02,per_pair,40,pilot,0.0,0.0,0.97,0.0,0.018523535883341862,0.02,0.03436426116838488,2557.55,1953.19,604.3600000000001,0.0,,0.5525454046033847,full,t,False
