collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,60,0.03,static_sum,80,pilot,1.0,0.0,1.0,1.0,0.02852353588334186,0.03,0.0,5626.26,3905.71,1720.5500000000002,0.0,113.18899550860276,0.5190044189308897,full,t,False
cast19,llm,60,0.03,oracle_exact,80,pilot,1.0,0.0,1.0,1.0,0.02852353588334186,0.03,0.0,5703.6,3905.71,1797.8900000000003,0.0,24.183533091432178,0.5190044189308897,full,t,False
cast19,llm,60,0.03,plugin_exact,80,pilot,1.0,0.0,1.0,1.0,0.02852353588334186,0.03,0.0,5703.316666666667,3905.71,1797.6066666666666,0.0,30.191513484440012,0.5190044189308897,full,t,False
cast19,llm,60,0.03,per_pair,80,pilot,0.23666666666666666,0.0,1.0,0.23666666666666666,0.02852353588334186,0.03,0.0,5487.046666666667,3905.71,1581.336666666667,0.0,,0.5190044189308897,full,t,False
