collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,15,0.01,static_sum,80,pilot,0.02666666666666667,0.0,0.9966666666666667,0.026755852842809364,0.008523535883341862,0.01,0.043478260869565216,4382.706666666667,3905.71,476.9966666666669,0.0,19714.003008543405,0.5190044189308897,full,t,False
cast19,llm,15,0.01,oracle_exact,80,pilot,0.04666666666666667,0.0,0.9966666666666667,0.046822742474916385,0.008523535883341862,0.01,0.043478260869565216,4382.31,3905.71,476.60000000000036,0.0,10929.195276745264,0.5190044189308897,full,t,False
cast19,llm,15,0.01,plugin_exact,80,pilot,0.03333333333333333,0.0,0.9966666666666667,0.033444816053511704,0.008523535883341862,0.01,0.043478260869565216,4382.596666666666,3905.71,476.8866666666663,0.0,55057.71678004783,0.5190044189308897,full,t,False
cast19,llm,15,0.01,per_pair,80,pilot,0.0,0.0,0.9966666666666667,0.0,0.008523535883341862,0.01,0.043478260869565216,4373.1866666666665,3905.71,467.47666666666646,0.0,,0.5190044189308897,full,t,False
cast19,llm,15,0.02,static_sum,80,pilot,0.17666666666666667,0.0,1.0,0.17666666666666667,0.018523535883341862,0.02,0.006666666666666667,4375.4366666666665,3899.9766666666665,475.46000000000004,0.0,3247.0758883701224,0.5057318441194745,full,t,False
cast19,llm,15,0.02,oracle_exact,80,pilot,0.16,0.0,1.0,0.16,0.018523535883341862,0.02,0.006666666666666667,4376.4,3899.9766666666665,476.4233333333332,0.0,1828.4062265733305,0.5057318441194745,full,t,False
cast19,llm,15,0.02,plugin_exact,80,pilot,0.14666666666666667,0.0,1.0,0.14666666666666667,0.018523535883341862,0.02,0.006666666666666667,4377.56,3899.9766666666665,477.58333333333394,0.0,6075.477519005352,0.5057318441194745,full,t,False
cast19,llm,15,0.02,per_pair,80,pilot,0.0033333333333333335,0.0,1.0,0.0033333333333333335,0.018523535883341862,0.02,0.006666666666666667,4367.466666666666,3899.9766666666665,467.4899999999998,0.0,,0.5057318441194745,full,t,False
