collection,judge,budget_full_eq,eps,method,act,wrong,nonoverlap
dl212223,llm,30,0.01,static_sum,0.12,0.0,0.8313692512469373
dl212223,llm,30,0.01,per_pair,0.11333333333333333,0.0,0.8313692512469373
dl212223,llm,30,0.01,adaptive,0.12333333333333334,0.0,0.8313692512469373
dl212223,llm,30,0.01,oracle,0.15333333333333332,0.0,0.8313692512469373
dl212223,llm,30,0.02,static_sum,0.23666666666666666,0.0,0.8191240823782255
dl212223,llm,30,0.02,per_pair,0.20666666666666667,0.0,0.8191240823782255
dl212223,llm,30,0.02,adaptive,0.21666666666666667,0.0,0.8191240823782255
dl212223,llm,30,0.02,oracle,0.25666666666666665,0.0,0.8191240823782255
dl212223,llm,45,0.01,static_sum,0.4633333333333333,0.0,0.8276130319646026
dl212223,llm,45,0.01,per_pair,0.4,0.0,0.8276130319646026
dl212223,llm,45,0.01,adaptive,0.4766666666666667,0.0,0.8276130319646026
dl212223,llm,45,0.01,oracle,0.5333333333333333,0.0,0.8276130319646026
dl212223,llm,45,0.02,static_sum,0.69,0.0,0.8235871610029197
dl212223,llm,45,0.02,per_pair,0.6266666666666667,0.0,0.8235871610029197
dl212223,llm,45,0.02,adaptive,0.7066666666666667,0.0,0.8235871610029197
dl212223,llm,45,0.02,oracle,0.7033333333333334,0.0,0.8235871610029197
dl212223,llm,60,0.01,static_sum,0.6633333333333333,0.0,0.8261183842874364
dl212223,llm,60,0.01,per_pair,0.4766666666666667,0.0,0.8261183842874364
dl212223,llm,60,0.01,adaptive,0.72,0.0,0.8261183842874364
dl212223,llm,60,0.01,oracle,0.73,0.0,0.8261183842874364
dl212223,llm,60,0.02,static_sum,0.8166666666666667,0.0,0.8188525672476636
dl212223,llm,60,0.02,per_pair,0.7333333333333333,0.0,0.8188525672476636
dl212223,llm,60,0.02,adaptive,0.8266666666666667,0.0,0.8188525672476636
dl212223,llm,60,0.02,oracle,0.82,0.0,0.8188525672476636
dl212223,llm,90,0.01,static_sum,0.8366666666666667,0.0,0.8262527254848554
dl212223,llm,90,0.01,per_pair,0.5533333333333333,0.0,0.8262527254848554
dl212223,llm,90,0.01,adaptive,0.84,0.0,0.8262527254848554
dl212223,llm,90,0.01,oracle,0.8466666666666667,0.0,0.8262527254848554
dl212223,llm,90,0.02,static_sum,0.8433333333333334,0.0,0.8276752335799556
dl212223,llm,90,0.02,per_pair,0.7,0.0,0.8276752335799556
dl212223,llm,90,0.02,adaptive,0.8466666666666667,0.0,0.8276752335799556
dl212223,llm,90,0.02,oracle,0.8433333333333334,0.0,0.8276752335799556
