collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,15,0.01,static_sum,40,pilot,0.02,0.0,0.9266666666666666,0.02158273381294964,0.008523535883341862,0.01,0.10071942446043165,2445.2566666666667,1954.5433333333333,490.71333333333337,0.0,99155.49875829258,0.5756380263804304,full,t,False
cast19,llm,15,0.01,oracle_exact,40,pilot,0.013333333333333334,0.0,0.9266666666666666,0.014388489208633094,0.008523535883341862,0.01,0.10071942446043165,2443.9966666666664,1954.5433333333333,489.45333333333315,0.0,59676.63345680439,0.5756380263804304,full,t,False
cast19,llm,15,0.01,plugin_exact,40,pilot,0.02666666666666667,0.0,0.9266666666666666,0.02877697841726619,0.008523535883341862,0.01,0.10071942446043165,2446.53,1954.5433333333333,491.9866666666669,0.0,2020953.5653820012,0.5756380263804304,full,t,False
cast19,llm,15,0.01,per_pair,40,pilot,0.0,0.0,0.9266666666666666,0.0,0.008523535883341862,0.01,0.10071942446043165,2434.72,1954.5433333333333,480.1766666666665,0.0,,0.5756380263804304,full,t,False
cast19,llm,15,0.02,static_sum,40,pilot,0.03666666666666667,0.0,0.97,0.037800687285223365,0.018523535883341862,0.02,0.03436426116838488,2443.7766666666666,1953.19,490.5866666666666,0.0,33829.24041470052,0.5525454046033847,full,t,False
cast19,llm,15,0.02,oracle_exact,40,pilot,0.06666666666666667,0.0,0.97,0.06872852233676977,0.018523535883341862,0.02,0.03436426116838488,2443.2266666666665,1953.19,490.0366666666664,0.0,20984.86202230551,0.5525454046033847,full,t,False
cast19,llm,15,0.02,plugin_exact,40,pilot,0.07333333333333333,0.0,0.97,0.07560137457044673,0.018523535883341862,0.02,0.03436426116838488,2443.17,1953.19,489.98,0.0,113236.99926441796,0.5525454046033847,full,t,False
cast19,llm,15,0.02,per_pair,40,pilot,0.0,0.0,0.97,0.0,0.018523535883341862,0.02,0.03436426116838488,2436.5633333333335,1953.19,483.37333333333345,0.0,,0.5525454046033847,full,t,False
