collection,method,act_rate,mean_T,wrong_cert_rate
arguana,loo_boot,0.902,52.04,0.052
arguana,loo_sim,0.804,60.84,0.032
arguana,recal_bp,0.178,79.76,0.12
arguana,recal_bpu,0.106,81.88,0.078
arguana,recal_bpx,0.076,87.24,0.038
arguana,recal_bpxu,0.03,87.88,0.018
arguana,recal_ep,0.218,78.48,0.136
arguana,split_ppi,0.21,87.0,0.0
arguana,split_t,0.234,86.24,0.002
cqadupstack-android,loo_boot,0.634,55.44,0.046
cqadupstack-android,loo_sim,0.536,62.72,0.036
cqadupstack-android,recal_bp,0.094,88.08,0.008
cqadupstack-android,recal_bpu,0.004,89.68,0.0
cqadupstack-android,recal_bpx,0.06,89.0,0.006
cqadupstack-android,recal_bpxu,0.0,90.0,0.0
cqadupstack-android,recal_ep,0.296,81.32,0.042
cqadupstack-android,split_ppi,0.108,87.6,0.0
cqadupstack-android,split_t,0.106,87.68,0.0
nfcorpus,loo_boot,0.812,48.36,0.04
nfcorpus,loo_sim,0.712,55.92,0.026
nfcorpus,recal_bp,0.694,74.36,0.0
nfcorpus,recal_bpu,0.002,89.84,0.0
nfcorpus,recal_bpx,0.644,78.04,0.0
nfcorpus,recal_bpxu,0.0,90.0,0.0
nfcorpus,recal_ep,0.876,58.88,0.0
nfcorpus,split_ppi,0.2,85.96,0.008
nfcorpus,split_t,0.194,86.28,0.006
scifact,loo_boot,0.77,47.4,0.11
scifact,loo_sim,0.672,53.68,0.094
scifact,recal_bp,0.056,86.4,0.038
scifact,recal_bpu,0.024,88.12,0.016
scifact,recal_bpx,0.018,88.92,0.012
scifact,recal_bpxu,0.004,89.68,0.002
scifact,recal_ep,0.092,84.8,0.056
scifact,split_ppi,0.156,86.72,0.002
scifact,split_t,0.162,86.48,0.002
