collection,judge,budget_full_eq,eps,method,act,wrong
dbpedia-entity,rr,30,0.01,human_full,0.02666666666666667,0.0033333333333333335
dbpedia-entity,rr,30,0.01,human_weighted,0.02666666666666667,0.0
dbpedia-entity,rr,30,0.01,judge_ppi,0.023333333333333334,0.0
dbpedia-entity,rr,30,0.01,weighted_cv,0.03666666666666667,0.0033333333333333335
dbpedia-entity,rr,30,0.02,human_full,0.05333333333333334,0.0
dbpedia-entity,rr,30,0.02,human_weighted,0.08,0.0
dbpedia-entity,rr,30,0.02,judge_ppi,0.06666666666666667,0.0
dbpedia-entity,rr,30,0.02,weighted_cv,0.11,0.0
dbpedia-entity,rr,30,0.05,human_full,0.34,0.0
dbpedia-entity,rr,30,0.05,human_weighted,0.38,0.0
dbpedia-entity,rr,30,0.05,judge_ppi,0.32,0.0
dbpedia-entity,rr,30,0.05,weighted_cv,0.4533333333333333,0.0
dbpedia-entity,rr,60,0.01,human_full,0.14333333333333334,0.0
dbpedia-entity,rr,60,0.01,human_weighted,0.3,0.0
dbpedia-entity,rr,60,0.01,judge_ppi,0.16333333333333333,0.0
dbpedia-entity,rr,60,0.01,weighted_cv,0.3466666666666667,0.0
dbpedia-entity,rr,60,0.02,human_full,0.37,0.0
dbpedia-entity,rr,60,0.02,human_weighted,0.44333333333333336,0.0
dbpedia-entity,rr,60,0.02,judge_ppi,0.38,0.0
dbpedia-entity,rr,60,0.02,weighted_cv,0.49666666666666665,0.0
dbpedia-entity,rr,60,0.05,human_full,0.73,0.0
dbpedia-entity,rr,60,0.05,human_weighted,0.8966666666666666,0.0
dbpedia-entity,rr,60,0.05,judge_ppi,0.7466666666666667,0.0
dbpedia-entity,rr,60,0.05,weighted_cv,0.9033333333333333,0.0
dbpedia-entity,rr,90,0.01,human_full,0.3,0.0
dbpedia-entity,rr,90,0.01,human_weighted,0.37333333333333335,0.0
dbpedia-entity,rr,90,0.01,judge_ppi,0.31666666666666665,0.0033333333333333335
dbpedia-entity,rr,90,0.01,weighted_cv,0.47333333333333333,0.0
dbpedia-entity,rr,90,0.02,human_full,0.43,0.0
dbpedia-entity,rr,90,0.02,human_weighted,0.62,0.0
dbpedia-entity,rr,90,0.02,judge_ppi,0.44333333333333336,0.0
dbpedia-entity,rr,90,0.02,weighted_cv,0.64,0.0
dbpedia-entity,rr,90,0.05,human_full,0.81,0.0
dbpedia-entity,rr,90,0.05,human_weighted,0.9266666666666666,0.0
dbpedia-entity,rr,90,0.05,judge_ppi,0.8133333333333334,0.0
dbpedia-entity,rr,90,0.05,weighted_cv,0.9466666666666667,0.0
