collection,judge,budget_full_eq,eps,method,act,wrong
dl212223,llm,30,0.01,human_full,0.07666666666666666,0.0
dl212223,llm,30,0.01,human_weighted,0.22333333333333333,0.0
dl212223,llm,30,0.01,judge_ppi,0.13666666666666666,0.0
dl212223,llm,30,0.01,weighted_cv,0.24,0.0
dl212223,llm,30,0.02,human_full,0.13666666666666666,0.0
dl212223,llm,30,0.02,human_weighted,0.33666666666666667,0.0
dl212223,llm,30,0.02,judge_ppi,0.24333333333333335,0.0
dl212223,llm,30,0.02,weighted_cv,0.4166666666666667,0.0
dl212223,llm,30,0.05,human_full,0.36666666666666664,0.0
dl212223,llm,30,0.05,human_weighted,0.73,0.0
dl212223,llm,30,0.05,judge_ppi,0.5066666666666667,0.0
dl212223,llm,30,0.05,weighted_cv,0.7666666666666667,0.0
dl212223,llm,60,0.01,human_full,0.44333333333333336,0.0033333333333333335
dl212223,llm,60,0.01,human_weighted,0.7933333333333333,0.0
dl212223,llm,60,0.01,judge_ppi,0.5033333333333333,0.0
dl212223,llm,60,0.01,weighted_cv,0.8066666666666666,0.0
dl212223,llm,60,0.02,human_full,0.5766666666666667,0.0
dl212223,llm,60,0.02,human_weighted,0.7733333333333333,0.0
dl212223,llm,60,0.02,judge_ppi,0.61,0.0
dl212223,llm,60,0.02,weighted_cv,0.7733333333333333,0.0
dl212223,llm,60,0.05,human_full,0.89,0.0
dl212223,llm,60,0.05,human_weighted,0.8733333333333333,0.0
dl212223,llm,60,0.05,judge_ppi,0.8833333333333333,0.0
dl212223,llm,60,0.05,weighted_cv,0.8666666666666667,0.0
dl212223,llm,90,0.01,human_full,0.7,0.0
dl212223,llm,90,0.01,human_weighted,0.8566666666666667,0.0
dl212223,llm,90,0.01,judge_ppi,0.7133333333333334,0.0
dl212223,llm,90,0.01,weighted_cv,0.8633333333333333,0.0
dl212223,llm,90,0.02,human_full,0.81,0.0
dl212223,llm,90,0.02,human_weighted,0.8833333333333333,0.0
dl212223,llm,90,0.02,judge_ppi,0.8066666666666666,0.0
dl212223,llm,90,0.02,weighted_cv,0.8766666666666667,0.0
dl212223,llm,90,0.05,human_full,0.8766666666666667,0.0
dl212223,llm,90,0.05,human_weighted,0.89,0.0
dl212223,llm,90,0.05,judge_ppi,0.8666666666666667,0.0
dl212223,llm,90,0.05,weighted_cv,0.9033333333333333,0.0
