collection,judge,budget_full_eq,eps,method,act,wrong,lin_bias,lin_bias_abs,docs
dbpedia-entity,llm,30,0.01,human_full,0.023333333333333334,0.0,0.0019430031829138635,0.02121469096039844,1542.7067669172932
dbpedia-entity,llm,30,0.01,weighted_plugin,0.47333333333333333,0.0,0.0019430031829138635,0.02121469096039844,1542.7067669172932
dbpedia-entity,llm,30,0.01,judge_ppi,0.04666666666666667,0.0,0.0019430031829138635,0.02121469096039844,1542.7067669172932
dbpedia-entity,llm,30,0.01,weighted_lin_cv,0.06333333333333334,0.0,0.0019430031829138635,0.02121469096039844,1542.7067669172932
dbpedia-entity,llm,30,0.01,weighted_lin_cv_bc,0.06333333333333334,0.0,0.0019430031829138635,0.02121469096039844,1542.7067669172932
dbpedia-entity,llm,30,0.02,human_full,0.05333333333333334,0.0,0.0010148834493009739,0.021632460330940337,1542.7067669172932
dbpedia-entity,llm,30,0.02,weighted_plugin,0.6066666666666667,0.0,0.0010148834493009739,0.021632460330940337,1542.7067669172932
dbpedia-entity,llm,30,0.02,judge_ppi,0.07666666666666666,0.0,0.0010148834493009739,0.021632460330940337,1542.7067669172932
dbpedia-entity,llm,30,0.02,weighted_lin_cv,0.16666666666666666,0.0,0.0010148834493009739,0.021632460330940337,1542.7067669172932
dbpedia-entity,llm,30,0.02,weighted_lin_cv_bc,0.15666666666666668,0.0,0.0010148834493009739,0.021632460330940337,1542.7067669172932
dbpedia-entity,llm,60,0.01,human_full,0.23333333333333334,0.0,0.002176947201219764,0.01031187226586498,3085.4135338345864
dbpedia-entity,llm,60,0.01,weighted_plugin,0.7833333333333333,0.0,0.002176947201219764,0.01031187226586498,3085.4135338345864
dbpedia-entity,llm,60,0.01,judge_ppi,0.33,0.0,0.002176947201219764,0.01031187226586498,3085.4135338345864
dbpedia-entity,llm,60,0.01,weighted_lin_cv,0.55,0.0,0.002176947201219764,0.01031187226586498,3085.4135338345864
dbpedia-entity,llm,60,0.01,weighted_lin_cv_bc,0.3233333333333333,0.0,0.002176947201219764,0.01031187226586498,3085.4135338345864
dbpedia-entity,llm,60,0.02,human_full,0.3933333333333333,0.0,0.00260685792983955,0.010328760708897489,3085.4135338345864
dbpedia-entity,llm,60,0.02,weighted_plugin,0.8266666666666667,0.0,0.00260685792983955,0.010328760708897489,3085.4135338345864
dbpedia-entity,llm,60,0.02,judge_ppi,0.5366666666666666,0.0,0.00260685792983955,0.010328760708897489,3085.4135338345864
dbpedia-entity,llm,60,0.02,weighted_lin_cv,0.73,0.0,0.00260685792983955,0.010328760708897489,3085.4135338345864
dbpedia-entity,llm,60,0.02,weighted_lin_cv_bc,0.49333333333333335,0.0,0.00260685792983955,0.010328760708897489,3085.4135338345864
dbpedia-entity,llm,90,0.01,human_full,0.4666666666666667,0.0,0.0029481707449108222,0.007374345813683521,4628.12030075188
dbpedia-entity,llm,90,0.01,weighted_plugin,0.7633333333333333,0.0,0.0029481707449108222,0.007374345813683521,4628.12030075188
dbpedia-entity,llm,90,0.01,judge_ppi,0.5733333333333334,0.0,0.0029481707449108222,0.007374345813683521,4628.12030075188
dbpedia-entity,llm,90,0.01,weighted_lin_cv,0.7266666666666667,0.0,0.0029481707449108222,0.007374345813683521,4628.12030075188
dbpedia-entity,llm,90,0.01,weighted_lin_cv_bc,0.4533333333333333,0.0,0.0029481707449108222,0.007374345813683521,4628.12030075188
dbpedia-entity,llm,90,0.02,human_full,0.67,0.0,0.00204584269383475,0.007508618666938881,4628.12030075188
dbpedia-entity,llm,90,0.02,weighted_plugin,0.8733333333333333,0.0,0.00204584269383475,0.007508618666938881,4628.12030075188
dbpedia-entity,llm,90,0.02,judge_ppi,0.8,0.0,0.00204584269383475,0.007508618666938881,4628.12030075188
dbpedia-entity,llm,90,0.02,weighted_lin_cv,0.8733333333333333,0.0,0.00204584269383475,0.007508618666938881,4628.12030075188
dbpedia-entity,llm,90,0.02,weighted_lin_cv_bc,0.67,0.0,0.00204584269383475,0.007508618666938881,4628.12030075188
dbpedia-entity,llm,120,0.01,human_full,0.67,0.0,0.0024403145910752377,0.006008062847110029,6170.827067669173
dbpedia-entity,llm,120,0.01,weighted_plugin,0.81,0.0,0.0024403145910752377,0.006008062847110029,6170.827067669173
dbpedia-entity,llm,120,0.01,judge_ppi,0.7533333333333333,0.0,0.0024403145910752377,0.006008062847110029,6170.827067669173
dbpedia-entity,llm,120,0.01,weighted_lin_cv,0.8066666666666666,0.0,0.0024403145910752377,0.006008062847110029,6170.827067669173
dbpedia-entity,llm,120,0.01,weighted_lin_cv_bc,0.49666666666666665,0.0,0.0024403145910752377,0.006008062847110029,6170.827067669173
dbpedia-entity,llm,120,0.02,human_full,0.81,0.0,0.0029737061466708114,0.005811860384589042,6170.827067669173
dbpedia-entity,llm,120,0.02,weighted_plugin,0.85,0.0,0.0029737061466708114,0.005811860384589042,6170.827067669173
dbpedia-entity,llm,120,0.02,judge_ppi,0.8233333333333334,0.0,0.0029737061466708114,0.005811860384589042,6170.827067669173
dbpedia-entity,llm,120,0.02,weighted_lin_cv,0.85,0.0,0.0029737061466708114,0.005811860384589042,6170.827067669173
dbpedia-entity,llm,120,0.02,weighted_lin_cv_bc,0.6766666666666666,0.0,0.0029737061466708114,0.005811860384589042,6170.827067669173
