collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
antique,llm,150,0.01,static_sum,40,pilot,0.9133333333333333,0.0,0.92,0.9927536231884058,0.01,0.01,0.0,4348.22,1268.49,3079.7300000000005,0.0,1404.0136139510776,0.5829289264318486,full,t,False
antique,llm,150,0.01,oracle_exact,40,pilot,0.92,0.0,0.92,1.0,0.01,0.01,0.0,4523.263333333333,1268.49,3254.7733333333335,0.0,8.809264371970977,0.5829289264318486,full,t,False
antique,llm,150,0.01,plugin_exact,40,pilot,0.92,0.0,0.92,1.0,0.01,0.01,0.0,4523.553333333333,1268.49,3255.0633333333335,0.0,52.273270010673095,0.5829289264318486,full,t,False
antique,llm,150,0.01,per_pair,40,pilot,0.7666666666666667,0.0,0.92,0.8333333333333334,0.01,0.01,0.0,3916.056666666667,1268.49,2647.5666666666666,0.0,,0.5829289264318486,full,t,False
antique,llm,150,0.02,static_sum,40,pilot,0.9333333333333333,0.0,0.9333333333333333,1.0,0.02,0.02,0.010714285714285714,4405.29,1265.18,3140.1099999999997,0.0,1027.3797700774755,0.5853284497627771,full,t,False
antique,llm,150,0.02,oracle_exact,40,pilot,0.9333333333333333,0.0,0.9333333333333333,1.0,0.02,0.02,0.010714285714285714,4574.07,1265.18,3308.8899999999994,0.0,8.809195672547329,0.5853284497627771,full,t,False
antique,llm,150,0.02,plugin_exact,40,pilot,0.9333333333333333,0.0,0.9333333333333333,1.0,0.02,0.02,0.010714285714285714,4574.78,1265.18,3309.5999999999995,0.0,42.674254333479844,0.5853284497627771,full,t,False
antique,llm,150,0.02,per_pair,40,pilot,0.8233333333333334,0.0,0.9333333333333333,0.8821428571428571,0.02,0.02,0.010714285714285714,3946.29,1265.18,2681.1099999999997,0.0,,0.5853284497627771,full,t,False
