collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,60,0.03,static_sum,20,pilot,0.7833333333333333,0.0,0.98,0.7993197278911565,0.02559441091780576,0.03,0.08503401360544217,2842.2766666666666,972.3033333333333,1869.9733333333334,0.0,4901.904608431898,0.593449071818745,full,t,False
cast19,llm,60,0.03,oracle_exact,20,pilot,0.8333333333333334,0.0,0.98,0.8503401360544217,0.02559441091780576,0.03,0.08503401360544217,2850.99,972.3033333333333,1878.6866666666665,0.0,2287.2765492200974,0.593449071818745,full,t,False
cast19,llm,60,0.03,plugin_exact,20,pilot,0.79,0.0,0.98,0.8061224489795918,0.02559441091780576,0.03,0.08503401360544217,2849.55,972.3033333333333,1877.246666666667,0.0,7415.452938516775,0.593449071818745,full,t,False
cast19,llm,60,0.03,per_pair,20,pilot,0.13,0.0,0.98,0.1326530612244898,0.02559441091780576,0.03,0.08503401360544217,2765.0666666666666,972.3033333333333,1792.7633333333333,0.0,,0.593449071818745,full,t,False
