collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dbpedia-entity,llm,20,0.01,static_sum,0.3233333333333333,0.0,1786.4466666666667,1029.1066666666666,757.3400000000001,0.0,1007263.950002636,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.01,per_pair,0.056666666666666664,0.0,1781.6266666666668,1029.1066666666666,752.5200000000002,0.0,,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.01,adaptive,0.35333333333333333,0.0,1785.5,1029.1066666666666,756.3933333333334,0.0,988365.6928266893,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.01,oracle,0.3233333333333333,0.0,1788.0433333333333,1029.1066666666666,758.9366666666667,0.0,849787.1050323505,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.01,static_sum_v,0.3,0.0,1786.29,1029.1066666666666,757.1833333333334,0.0,997560.6464742894,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.01,oracle_exact,0.3433333333333333,0.0,1785.34,1029.1066666666666,756.2333333333333,0.0,671221.5925084656,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.01,plugin_exact,0.32666666666666666,0.0,1787.77,1029.1066666666666,758.6633333333334,0.0,17611925.108364176,0.5537186740871155,full,t,False
dbpedia-entity,llm,20,0.02,static_sum,0.3466666666666667,0.0,1788.46,1031.4566666666667,757.0033333333333,0.0,614786.4753745868,0.5609396715529491,full,t,False
dbpedia-entity,llm,20,0.02,per_pair,0.09666666666666666,0.0,1780.81,1031.4566666666667,749.3533333333332,0.0,,0.5609396715529491,full,t,False
dbpedia-entity,llm,20,0.02,adaptive,0.32666666666666666,0.0,1789.02,1031.4566666666667,757.5633333333333,0.0,599953.4467380497,0.5609396715529491,full,t,False
dbpedia-entity,llm,20,0.02,oracle,0.32666666666666666,0.0,1790.69,1031.4566666666667,759.2333333333333,0.0,496679.9000280673,0.5609396715529491,full,t,False
dbpedia-entity,llm,20,0.02,static_sum_v,0.32666666666666666,0.0,1789.11,1031.4566666666667,757.6533333333332,0.0,609384.9933817829,0.5609396715529491,full,t,False
dbpedia-entity,llm,20,0.02,oracle_exact,0.32666666666666666,0.0,1787.68,1031.4566666666667,756.2233333333334,0.0,402562.8480800842,0.5609396715529491,full,t,False
dbpedia-entity,llm,20,0.02,plugin_exact,0.33,0.0,1789.7,1031.4566666666667,758.2433333333333,0.0,1533244.5648765462,0.5609396715529491,full,t,False
dbpedia-entity,llm,30,0.01,static_sum,0.35,0.0,2133.5866666666666,1027.4833333333333,1106.1033333333332,0.0,731976.5813566457,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.01,per_pair,0.13666666666666666,0.0,2118.2266666666665,1027.4833333333333,1090.743333333333,0.0,,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.01,adaptive,0.3933333333333333,0.0,2131.016666666667,1027.4833333333333,1103.5333333333335,0.0,712814.6465434997,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.01,oracle,0.37,0.0,2135.3033333333333,1027.4833333333333,1107.82,0.0,590867.5692922954,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.01,static_sum_v,0.37,0.0,2135.306666666667,1027.4833333333333,1107.8233333333335,0.0,721573.4097150526,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.01,oracle_exact,0.37,0.0,2134.83,1027.4833333333333,1107.3466666666666,0.0,458982.5836355408,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.01,plugin_exact,0.36666666666666664,0.0,2131.38,1027.4833333333333,1103.8966666666668,0.0,3413353.8454474374,0.555657289187337,full,t,False
dbpedia-entity,llm,30,0.02,static_sum,0.47333333333333333,0.0,2139.0666666666666,1031.7766666666666,1107.29,0.0,431096.36876610754,0.5488398648591013,full,t,False
dbpedia-entity,llm,30,0.02,per_pair,0.17333333333333334,0.0,2130.5133333333333,1031.7766666666666,1098.7366666666667,0.0,,0.5488398648591013,full,t,False
dbpedia-entity,llm,30,0.02,adaptive,0.4666666666666667,0.0,2141.04,1031.7766666666666,1109.2633333333333,0.0,410416.5265890136,0.5488398648591013,full,t,False
dbpedia-entity,llm,30,0.02,oracle,0.43,0.0,2141.24,1031.7766666666666,1109.4633333333331,0.0,338655.93278535444,0.5488398648591013,full,t,False
dbpedia-entity,llm,30,0.02,static_sum_v,0.45666666666666667,0.0,2142.69,1031.7766666666666,1110.9133333333334,0.0,425508.6786124857,0.5488398648591013,full,t,False
dbpedia-entity,llm,30,0.02,oracle_exact,0.47333333333333333,0.0,2139.55,1031.7766666666666,1107.7733333333335,0.0,278518.6841461462,0.5488398648591013,full,t,False
dbpedia-entity,llm,30,0.02,plugin_exact,0.48,0.0,2142.73,1031.7766666666666,1110.9533333333334,0.0,1617134.648838672,0.5488398648591013,full,t,False
dbpedia-entity,llm,45,0.01,static_sum,0.4533333333333333,0.0,2667.923333333333,1028.3066666666666,1639.6166666666666,0.0,309356.848949921,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.01,per_pair,0.20666666666666667,0.0,2647.66,1028.3066666666666,1619.3533333333332,0.0,,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.01,adaptive,0.47,0.0,2664.653333333333,1028.3066666666666,1636.3466666666666,0.0,297854.8516876042,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.01,oracle,0.49333333333333335,0.0,2665.9766666666665,1028.3066666666666,1637.6699999999998,0.0,252333.14507004432,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.01,static_sum_v,0.45,0.0,2665.38,1028.3066666666666,1637.0733333333335,0.0,303851.6113780308,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.01,oracle_exact,0.45666666666666667,0.0,2667.63,1028.3066666666666,1639.3233333333335,0.0,197830.89032747847,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.01,plugin_exact,0.45,0.0,2667.403333333333,1028.3066666666666,1639.0966666666666,0.0,1730662.7573112524,0.5468886661540138,full,t,False
dbpedia-entity,llm,45,0.02,static_sum,0.5233333333333333,0.0,2665.6766666666667,1027.3633333333332,1638.3133333333335,0.0,204469.12230710164,0.5456784346802483,full,t,False
dbpedia-entity,llm,45,0.02,per_pair,0.26,0.0,2646.35,1027.3633333333332,1618.9866666666667,0.0,,0.5456784346802483,full,t,False
dbpedia-entity,llm,45,0.02,adaptive,0.5433333333333333,0.0,2667.36,1027.3633333333332,1639.996666666667,0.0,194439.64478331493,0.5456784346802483,full,t,False
dbpedia-entity,llm,45,0.02,oracle,0.5666666666666667,0.0,2667.52,1027.3633333333332,1640.1566666666668,0.0,165551.627006923,0.5456784346802483,full,t,False
dbpedia-entity,llm,45,0.02,static_sum_v,0.5166666666666667,0.0,2661.65,1027.3633333333332,1634.2866666666669,0.0,203461.5033593349,0.5456784346802483,full,t,False
dbpedia-entity,llm,45,0.02,oracle_exact,0.54,0.0,2667.3566666666666,1027.3633333333332,1639.9933333333333,0.0,130384.62763395133,0.5456784346802483,full,t,False
dbpedia-entity,llm,45,0.02,plugin_exact,0.53,0.0,2666.4066666666668,1027.3633333333332,1639.0433333333335,0.0,671818.2256635412,0.5456784346802483,full,t,False
dbpedia-entity,llm,60,0.01,static_sum,0.51,0.0,3192.3166666666666,1025.6233333333332,2166.6933333333336,0.0,305053.3794571486,0.5412345197985059,full,t,False
dbpedia-entity,llm,60,0.01,per_pair,0.25666666666666665,0.0,3161.9866666666667,1025.6233333333332,2136.3633333333337,0.0,,0.5412345197985059,full,t,False
dbpedia-entity,llm,60,0.01,adaptive,0.5333333333333333,0.0,3188.016666666667,1025.6233333333332,2162.3933333333334,0.0,293028.77025768056,0.5412345197985059,full,t,False
dbpedia-entity,llm,60,0.01,oracle,0.5266666666666666,0.0,3192.12,1025.6233333333332,2166.496666666667,0.0,253883.77596857378,0.5412345197985059,full,t,False
dbpedia-entity,llm,60,0.01,static_sum_v,0.49666666666666665,0.0,3192.1866666666665,1025.6233333333332,2166.5633333333335,0.0,302352.4709364096,0.5412345197985059,full,t,False
dbpedia-entity,llm,60,0.01,oracle_exact,0.5333333333333333,0.0,3188.68,1025.6233333333332,2163.0566666666664,0.0,197548.1796893818,0.5412345197985059,full,t,False
dbpedia-entity,llm,60,0.01,plugin_exact,0.5,0.0,3190.87,1025.6233333333332,2165.246666666667,0.0,1696386.4148216809,0.5412345197985059,full,t,False
