collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dl212223,llm,15,0.01,static_sum,10,pilot,0.36,0.0,0.72,0.5,0.01,0.01,0.018518518518518517,1550.5766666666666,692.25,858.3266666666666,0.0,624385.8684266454,0.7918230775714535,full,t,False
dl212223,llm,15,0.01,oracle_exact,10,pilot,0.4,0.0,0.72,0.5555555555555556,0.01,0.01,0.018518518518518517,1550.4633333333334,692.25,858.2133333333334,0.0,374536.7871061123,0.7918230775714535,full,t,False
dl212223,llm,15,0.01,plugin_exact,10,pilot,0.3466666666666667,0.0,0.72,0.48148148148148145,0.01,0.01,0.018518518518518517,1550.1833333333334,692.25,857.9333333333334,0.0,3897639.671312935,0.7918230775714535,full,t,False
dl212223,llm,15,0.01,per_pair,10,pilot,0.02666666666666667,0.0,0.72,0.037037037037037035,0.01,0.01,0.018518518518518517,1543.02,692.25,850.77,0.0,,0.7918230775714535,full,t,False
dl212223,llm,15,0.02,static_sum,10,pilot,0.41333333333333333,0.0,0.7133333333333334,0.5794392523364486,0.02,0.02,0.056074766355140186,1547.1766666666667,696.5533333333333,850.6233333333334,0.0,581060.4096496654,0.7997975587123155,full,t,False
dl212223,llm,15,0.02,oracle_exact,10,pilot,0.44333333333333336,0.0,0.7133333333333334,0.6214953271028038,0.02,0.02,0.056074766355140186,1546.1466666666668,696.5533333333333,849.5933333333335,0.0,295835.30635386653,0.7997975587123155,full,t,False
dl212223,llm,15,0.02,plugin_exact,10,pilot,0.4,0.0,0.7133333333333334,0.5607476635514018,0.02,0.02,0.056074766355140186,1545.9333333333334,696.5533333333333,849.3800000000001,0.0,4899387.59346673,0.7997975587123155,full,t,False
dl212223,llm,15,0.02,per_pair,10,pilot,0.05333333333333334,0.0,0.7133333333333334,0.07476635514018691,0.02,0.02,0.056074766355140186,1535.2333333333333,696.5533333333333,838.6800000000001,0.0,,0.7997975587123155,full,t,False
