collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dl212223,llm,15,0.03,static_sum,40,pilot,0.9,0.0,0.96,0.9375,0.03,0.03,0.006944444444444444,3627.8733333333334,2772.55,855.3233333333333,0.0,48129.67795239708,0.8332085900283565,full,t,False
dl212223,llm,15,0.03,oracle_exact,40,pilot,0.9266666666666666,0.0,0.96,0.9652777777777778,0.03,0.03,0.006944444444444444,3627.88,2772.55,855.3299999999999,0.0,17951.3504164622,0.8332085900283565,full,t,False
dl212223,llm,15,0.03,plugin_exact,40,pilot,0.9333333333333333,0.0,0.96,0.9722222222222222,0.03,0.03,0.006944444444444444,3627.4533333333334,2772.55,854.9033333333332,0.0,47233.66052714873,0.8332085900283565,full,t,False
dl212223,llm,15,0.03,per_pair,40,pilot,0.31666666666666665,0.0,0.96,0.3298611111111111,0.03,0.03,0.006944444444444444,3617.7766666666666,2772.55,845.2266666666665,0.0,,0.8332085900283565,full,t,False
