collection,judge,budget_full_eq,eps,method,act,wrong,nonoverlap
dbpedia-entity,rr,30,0.01,static_sum,0.2833333333333333,0.0,0.5391753660167717
dbpedia-entity,rr,30,0.01,per_pair,0.2833333333333333,0.0,0.5391753660167717
dbpedia-entity,rr,30,0.01,adaptive,0.31333333333333335,0.0,0.5391753660167717
dbpedia-entity,rr,30,0.01,oracle,0.30333333333333334,0.0,0.5391753660167717
dbpedia-entity,rr,30,0.02,static_sum,0.3466666666666667,0.0,0.5470883689020485
dbpedia-entity,rr,30,0.02,per_pair,0.3566666666666667,0.0,0.5470883689020485
dbpedia-entity,rr,30,0.02,adaptive,0.37,0.0,0.5470883689020485
dbpedia-entity,rr,30,0.02,oracle,0.32,0.0,0.5470883689020485
dbpedia-entity,rr,45,0.01,static_sum,0.35333333333333333,0.0,0.5392289190261358
dbpedia-entity,rr,45,0.01,per_pair,0.34,0.0,0.5392289190261358
dbpedia-entity,rr,45,0.01,adaptive,0.3566666666666667,0.0,0.5392289190261358
dbpedia-entity,rr,45,0.01,oracle,0.36,0.0,0.5392289190261358
dbpedia-entity,rr,45,0.02,static_sum,0.3933333333333333,0.0,0.5456961384390058
dbpedia-entity,rr,45,0.02,per_pair,0.39,0.0,0.5456961384390058
dbpedia-entity,rr,45,0.02,adaptive,0.4066666666666667,0.0,0.5456961384390058
dbpedia-entity,rr,45,0.02,oracle,0.44,0.0,0.5456961384390058
dbpedia-entity,rr,60,0.01,static_sum,0.4033333333333333,0.0,0.5550340304019951
dbpedia-entity,rr,60,0.01,per_pair,0.38,0.0,0.5550340304019951
dbpedia-entity,rr,60,0.01,adaptive,0.3933333333333333,0.0,0.5550340304019951
dbpedia-entity,rr,60,0.01,oracle,0.39666666666666667,0.0,0.5550340304019951
dbpedia-entity,rr,60,0.02,static_sum,0.4766666666666667,0.0,0.5633972254189058
dbpedia-entity,rr,60,0.02,per_pair,0.47333333333333333,0.0,0.5633972254189058
dbpedia-entity,rr,60,0.02,adaptive,0.4866666666666667,0.0,0.5633972254189058
dbpedia-entity,rr,60,0.02,oracle,0.49666666666666665,0.0,0.5633972254189058
dbpedia-entity,rr,90,0.01,static_sum,0.4633333333333333,0.0,0.5701046744323615
dbpedia-entity,rr,90,0.01,per_pair,0.4066666666666667,0.0,0.5701046744323615
dbpedia-entity,rr,90,0.01,adaptive,0.46,0.0,0.5701046744323615
dbpedia-entity,rr,90,0.01,oracle,0.48333333333333334,0.0,0.5701046744323615
dbpedia-entity,rr,90,0.02,static_sum,0.61,0.0,0.5593627830054582
dbpedia-entity,rr,90,0.02,per_pair,0.5733333333333334,0.0,0.5593627830054582
dbpedia-entity,rr,90,0.02,adaptive,0.6066666666666667,0.0,0.5593627830054582
dbpedia-entity,rr,90,0.02,oracle,0.61,0.0,0.5593627830054582
