collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dbpedia-entity,llm,30,0.01,static_sum,20,best,0.48333333333333334,0.0,1.0,0.48333333333333334,0.01,0.01,0.0,2135.7433333333333,1030.1566666666668,1105.5866666666666,0.0,22126.45469849605,0.5627087241970957,full,t,False
dbpedia-entity,llm,30,0.01,oracle_exact,20,best,0.51,0.0,1.0,0.51,0.01,0.01,0.0,2137.4333333333334,1030.1566666666668,1107.2766666666666,0.0,14773.910931661876,0.5627087241970957,full,t,False
dbpedia-entity,llm,30,0.01,plugin_exact,20,best,0.49666666666666665,0.0,1.0,0.49666666666666665,0.01,0.01,0.0,2130.693333333333,1030.1566666666668,1100.5366666666664,0.0,466524.17259412195,0.5627087241970957,full,t,False
dbpedia-entity,llm,30,0.01,per_pair,20,best,0.19666666666666666,0.0,1.0,0.19666666666666666,0.01,0.01,0.0,2125.616666666667,1030.1566666666668,1095.46,0.0,,0.5627087241970957,full,t,False
dbpedia-entity,llm,30,0.02,static_sum,20,best,0.5833333333333334,0.0,1.0,0.5833333333333334,0.02,0.02,0.0,2137.9066666666668,1027.9933333333333,1109.9133333333334,0.0,9616.895145078966,0.5707931223081317,full,t,False
dbpedia-entity,llm,30,0.02,oracle_exact,20,best,0.5866666666666667,0.0,1.0,0.5866666666666667,0.02,0.02,0.0,2141.1,1027.9933333333333,1113.1066666666666,0.0,6468.203317548727,0.5707931223081317,full,t,False
dbpedia-entity,llm,30,0.02,plugin_exact,20,best,0.59,0.0,1.0,0.59,0.02,0.02,0.0,2135.89,1027.9933333333333,1107.8966666666665,0.0,149142.69415191148,0.5707931223081317,full,t,False
dbpedia-entity,llm,30,0.02,per_pair,20,best,0.23666666666666666,0.0,1.0,0.23666666666666666,0.02,0.02,0.0,2125.5733333333333,1027.9933333333333,1097.58,0.0,,0.5707931223081317,full,t,False
