collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dbpedia-entity,llm,60,0.03,static_sum,40,pilot,0.84,0.0,0.99,0.8484848484848485,0.03,0.03,0.04713804713804714,4219.34,2058.8433333333332,2160.496666666667,0.0,26119.484723781123,0.5512613837011169,full,t,False
dbpedia-entity,llm,60,0.03,oracle_exact,40,pilot,0.85,0.0,0.99,0.8585858585858586,0.03,0.03,0.04713804713804714,4215.473333333333,2058.8433333333332,2156.63,0.0,16217.265873291892,0.5512613837011169,full,t,False
dbpedia-entity,llm,60,0.03,plugin_exact,40,pilot,0.86,0.0,0.99,0.8686868686868687,0.03,0.03,0.04713804713804714,4216.216666666666,2058.8433333333332,2157.373333333333,0.0,35230.369176978005,0.5512613837011169,full,t,False
dbpedia-entity,llm,60,0.03,per_pair,40,pilot,0.56,0.0,0.99,0.5656565656565656,0.03,0.03,0.04713804713804714,4192.553333333333,2058.8433333333332,2133.71,0.0,,0.5512613837011169,full,t,False
