collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
antique,llm,30,0.01,static_sum,0.0,0.0,1416.58,634.84,781.7399999999999,0.0,127915.00420458577,0.5804546288099548,full,bet,False
antique,llm,30,0.01,per_pair,0.0,0.0,1406.98,634.84,772.14,0.0,,0.5804546288099548,full,bet,False
antique,llm,30,0.01,adaptive,0.0,0.0,1419.4866666666667,634.84,784.6466666666666,0.0,120062.64288618982,0.5804546288099548,full,bet,False
antique,llm,30,0.01,oracle,0.0,0.0,1419.8666666666666,634.84,785.0266666666665,0.0,94500.79708048265,0.5804546288099548,full,bet,False
antique,llm,30,0.01,static_sum_v,0.0,0.0,1417.2366666666667,634.84,782.3966666666666,0.0,129377.1677424791,0.5804546288099548,full,bet,False
antique,llm,30,0.01,oracle_exact,0.0,0.0,1418.7433333333333,634.84,783.9033333333333,0.0,75938.7490096865,0.5804546288099548,full,bet,False
antique,llm,30,0.01,plugin_exact,0.0,0.0,1420.7633333333333,634.84,785.9233333333333,0.0,269304.77907080605,0.5804546288099548,full,bet,False
antique,llm,30,0.02,static_sum,0.0,0.0,1412.0966666666666,633.6133333333333,778.4833333333332,0.0,131125.3750301947,0.5910583022697273,full,bet,False
antique,llm,30,0.02,per_pair,0.0,0.0,1400.24,633.6133333333333,766.6266666666667,0.0,,0.5910583022697273,full,bet,False
antique,llm,30,0.02,adaptive,0.0,0.0,1413.7766666666666,633.6133333333333,780.1633333333333,0.0,121530.48365333422,0.5910583022697273,full,bet,False
antique,llm,30,0.02,oracle,0.0,0.0,1412.19,633.6133333333333,778.5766666666667,0.0,95022.49721157229,0.5910583022697273,full,bet,False
antique,llm,30,0.02,static_sum_v,0.0,0.0,1414.3533333333332,633.6133333333333,780.7399999999999,0.0,132389.90929452277,0.5910583022697273,full,bet,False
antique,llm,30,0.02,oracle_exact,0.0,0.0,1413.14,633.6133333333333,779.5266666666668,0.0,75504.90164420452,0.5910583022697273,full,bet,False
antique,llm,30,0.02,plugin_exact,0.0,0.0,1414.7266666666667,633.6133333333333,781.1133333333333,0.0,110579.1816039435,0.5910583022697273,full,bet,False
antique,llm,60,0.01,static_sum,0.0,0.0,2001.9033333333334,632.8566666666667,1369.0466666666666,0.0,65400.19491678349,0.5895884445388774,full,bet,False
antique,llm,60,0.01,per_pair,0.0,0.0,1963.35,632.8566666666667,1330.4933333333333,0.0,,0.5895884445388774,full,bet,False
antique,llm,60,0.01,adaptive,0.0,0.0,2002.52,632.8566666666667,1369.6633333333334,0.0,60378.590767871465,0.5895884445388774,full,bet,False
antique,llm,60,0.01,oracle,0.0,0.0,2001.4366666666667,632.8566666666667,1368.58,0.0,46608.120751567665,0.5895884445388774,full,bet,False
antique,llm,60,0.01,static_sum_v,0.0,0.0,2003.72,632.8566666666667,1370.8633333333332,0.0,66376.13291229475,0.5895884445388774,full,bet,False
antique,llm,60,0.01,oracle_exact,0.0,0.0,2004.0333333333333,632.8566666666667,1371.1766666666667,0.0,33927.788793474145,0.5895884445388774,full,bet,False
antique,llm,60,0.01,plugin_exact,0.0,0.0,2000.2833333333333,632.8566666666667,1367.4266666666667,0.0,142892.34196839103,0.5895884445388774,full,bet,False
antique,llm,60,0.02,static_sum,0.0,0.0,2018.55,635.9533333333334,1382.5966666666666,0.0,50700.90099006941,0.579396638007116,full,bet,False
antique,llm,60,0.02,per_pair,0.0,0.0,1982.13,635.9533333333334,1346.1766666666667,0.0,,0.579396638007116,full,bet,False
antique,llm,60,0.02,adaptive,0.0,0.0,2017.42,635.9533333333334,1381.4666666666667,0.0,46607.13033402941,0.579396638007116,full,bet,False
antique,llm,60,0.02,oracle,0.0,0.0,2018.77,635.9533333333334,1382.8166666666666,0.0,35506.755082626936,0.579396638007116,full,bet,False
antique,llm,60,0.02,static_sum_v,0.0,0.0,2019.8633333333332,635.9533333333334,1383.9099999999999,0.0,51601.47138462422,0.579396638007116,full,bet,False
antique,llm,60,0.02,oracle_exact,0.0,0.0,2019.4866666666667,635.9533333333334,1383.5333333333333,0.0,25418.775535006313,0.579396638007116,full,bet,False
antique,llm,60,0.02,plugin_exact,0.0,0.0,2020.88,635.9533333333334,1384.9266666666667,0.0,42724.110680010184,0.579396638007116,full,bet,False
antique,llm,90,0.01,static_sum,0.0,0.0,2664.1133333333332,632.7666666666667,2031.3466666666666,0.0,31413.36209293036,0.5756776544751516,full,bet,False
antique,llm,90,0.01,per_pair,0.0,0.0,2577.483333333333,632.7666666666667,1944.7166666666665,0.0,,0.5756776544751516,full,bet,False
antique,llm,90,0.01,adaptive,0.0,0.0,2664.74,632.7666666666667,2031.9733333333331,0.0,28452.311176033203,0.5756776544751516,full,bet,False
antique,llm,90,0.01,oracle,0.0,0.0,2661.44,632.7666666666667,2028.6733333333334,0.0,20886.79014580989,0.5756776544751516,full,bet,False
antique,llm,90,0.01,static_sum_v,0.0,0.0,2663.713333333333,632.7666666666667,2030.9466666666665,0.0,31953.173378229985,0.5756776544751516,full,bet,False
antique,llm,90,0.01,oracle_exact,0.0,0.0,2671.5433333333335,632.7666666666667,2038.7766666666669,0.0,12554.361409396988,0.5756776544751516,full,bet,False
antique,llm,90,0.01,plugin_exact,0.0,0.0,2671.9866666666667,632.7666666666667,2039.22,0.0,171983.75460284957,0.5756776544751516,full,bet,False
antique,llm,90,0.02,static_sum,0.0,0.0,2689.8233333333333,633.8633333333333,2055.96,0.0,21099.12988068049,0.5759052016813748,full,bet,False
antique,llm,90,0.02,per_pair,0.0,0.0,2602.7833333333333,633.8633333333333,1968.92,0.0,,0.5759052016813748,full,bet,False
antique,llm,90,0.02,adaptive,0.0,0.0,2693.3366666666666,633.8633333333333,2059.4733333333334,0.0,18402.00849643334,0.5759052016813748,full,bet,False
antique,llm,90,0.02,oracle,0.0,0.0,2690.57,633.8633333333333,2056.706666666667,0.0,13624.60227250236,0.5759052016813748,full,bet,False
antique,llm,90,0.02,static_sum_v,0.0,0.0,2689.58,633.8633333333333,2055.7166666666667,0.0,21564.15767128133,0.5759052016813748,full,bet,False
antique,llm,90,0.02,oracle_exact,0.0,0.0,2700.8633333333332,633.8633333333333,2067.0,0.0,7695.189938009617,0.5759052016813748,full,bet,False
antique,llm,90,0.02,plugin_exact,0.0,0.0,2699.4866666666667,633.8633333333333,2065.6233333333334,0.0,16457.3014507482,0.5759052016813748,full,bet,False
antique,llm,120,0.01,static_sum,0.0,0.0,3281.8333333333335,632.08,2649.7533333333336,0.0,15398.288400002843,0.5775299627287931,full,bet,False
antique,llm,120,0.01,per_pair,0.0,0.0,3084.55,632.08,2452.4700000000003,0.0,,0.5775299627287931,full,bet,False
antique,llm,120,0.01,adaptive,0.0,0.0,3283.4666666666667,632.08,2651.3866666666668,0.0,13296.991715497978,0.5775299627287931,full,bet,False
antique,llm,120,0.01,oracle,0.0,0.0,3283.83,632.08,2651.75,0.0,9540.243639802196,0.5775299627287931,full,bet,False
antique,llm,120,0.01,static_sum_v,0.0,0.0,3284.39,632.08,2652.31,0.0,15805.501215338936,0.5775299627287931,full,bet,False
