collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
dl212223,llm,10,0.01,static_sum,20,best,0.3333333333333333,0.0,1.0,0.3333333333333333,0.01,0.01,0.0,1968.4366666666667,1389.2866666666666,579.1500000000001,0.0,3647.4116606285443,0.8298021193046784,full,t,False
dl212223,llm,10,0.01,oracle_exact,20,best,0.38666666666666666,0.0,1.0,0.38666666666666666,0.01,0.01,0.0,1969.33,1389.2866666666666,580.0433333333333,0.0,2062.4524479929714,0.8298021193046784,full,t,False
dl212223,llm,10,0.01,plugin_exact,20,best,0.31333333333333335,0.0,1.0,0.31333333333333335,0.01,0.01,0.0,1967.6833333333334,1389.2866666666666,578.3966666666668,0.0,107357.93730854978,0.8298021193046784,full,t,False
dl212223,llm,10,0.01,per_pair,20,best,0.0033333333333333335,0.0,1.0,0.0033333333333333335,0.01,0.01,0.0,1964.1533333333334,1389.2866666666666,574.8666666666668,0.0,,0.8298021193046784,full,t,False
dl212223,llm,10,0.02,static_sum,20,best,0.4,0.0,1.0,0.4,0.02,0.02,0.0,1965.2233333333334,1388.77,576.4533333333334,0.0,2428.9930776027973,0.8304742793324349,full,t,False
dl212223,llm,10,0.02,oracle_exact,20,best,0.57,0.0,1.0,0.57,0.02,0.02,0.0,1967.1766666666667,1388.77,578.4066666666668,0.0,1526.12808426439,0.8304742793324349,full,t,False
dl212223,llm,10,0.02,plugin_exact,20,best,0.4766666666666667,0.0,1.0,0.4766666666666667,0.02,0.02,0.0,1969.4266666666667,1388.77,580.6566666666668,0.0,114700.42716837092,0.8304742793324349,full,t,False
dl212223,llm,10,0.02,per_pair,20,best,0.02666666666666667,0.0,1.0,0.02666666666666667,0.02,0.02,0.0,1962.6833333333334,1388.77,573.9133333333334,0.0,,0.8304742793324349,full,t,False
