collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,120,0.01,static_sum,80,pilot,0.98,0.0,0.9966666666666667,0.9832775919732442,0.008523535883341862,0.01,0.043478260869565216,6284.446666666667,3905.71,2378.7366666666667,0.0,62.117141472767734,0.5190044189308897,full,t,False
cast19,llm,120,0.01,oracle_exact,80,pilot,0.9966666666666667,0.0,0.9966666666666667,1.0,0.008523535883341862,0.01,0.043478260869565216,6347.993333333333,3905.71,2442.283333333333,0.0,0.0,0.5190044189308897,full,t,False
cast19,llm,120,0.01,plugin_exact,80,pilot,0.9966666666666667,0.0,0.9966666666666667,1.0,0.008523535883341862,0.01,0.043478260869565216,6347.993333333333,3905.71,2442.283333333333,0.0,0.0,0.5190044189308897,full,t,False
cast19,llm,120,0.01,per_pair,80,pilot,0.013333333333333334,0.0,0.9966666666666667,0.013377926421404682,0.008523535883341862,0.01,0.043478260869565216,5961.713333333333,3905.71,2056.003333333333,0.0,,0.5190044189308897,full,t,False
cast19,llm,120,0.02,static_sum,80,pilot,1.0,0.0,1.0,1.0,0.018523535883341862,0.02,0.006666666666666667,6268.026666666667,3899.9766666666665,2368.05,0.0,8.873444520150281,0.5057318441194745,full,t,False
cast19,llm,120,0.02,oracle_exact,80,pilot,1.0,0.0,1.0,1.0,0.018523535883341862,0.02,0.006666666666666667,6329.44,3899.9766666666665,2429.463333333333,0.0,0.0,0.5057318441194745,full,t,False
cast19,llm,120,0.02,plugin_exact,80,pilot,1.0,0.0,1.0,1.0,0.018523535883341862,0.02,0.006666666666666667,6329.44,3899.9766666666665,2429.463333333333,0.0,0.0,0.5057318441194745,full,t,False
cast19,llm,120,0.02,per_pair,80,pilot,0.09,0.0,1.0,0.09,0.018523535883341862,0.02,0.006666666666666667,5968.166666666667,3899.9766666666665,2068.1900000000005,0.0,,0.5057318441194745,full,t,False
