collection,judge,budget_full_eq,eps,method,n_train,fixed_cand,act,wrong,feasible_frac,act_feasible,slack_q25,slack_med,slack_lt_half_eps,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
antique,llm,15,0.01,static_sum,80,pilot,0.9233333333333333,0.0,0.9933333333333333,0.9295302013422819,0.01,0.01,0.0,2919.7466666666664,2529.8566666666666,389.8899999999999,0.0,7327.412643103904,0.5781784838692313,full,t,False
antique,llm,15,0.01,oracle_exact,80,pilot,0.9666666666666667,0.0,0.9933333333333333,0.9731543624161074,0.01,0.01,0.0,2919.403333333333,2529.8566666666666,389.5466666666666,0.0,4694.132394330115,0.5781784838692313,full,t,False
antique,llm,15,0.01,plugin_exact,80,pilot,0.9533333333333334,0.0,0.9933333333333333,0.959731543624161,0.01,0.01,0.0,2920.89,2529.8566666666666,391.0333333333333,0.0,5654.2118440980075,0.5781784838692313,full,t,False
antique,llm,15,0.01,per_pair,80,pilot,0.36666666666666664,0.0,0.9933333333333333,0.3691275167785235,0.01,0.01,0.0,2911.76,2529.8566666666666,381.90333333333365,0.0,,0.5781784838692313,full,t,False
antique,llm,15,0.02,static_sum,80,pilot,0.95,0.0,0.9866666666666667,0.9628378378378378,0.02,0.02,0.0,2915.6066666666666,2529.07,386.5366666666664,0.0,12745.446991402187,0.5816312179788035,full,t,False
antique,llm,15,0.02,oracle_exact,80,pilot,0.9666666666666667,0.0,0.9866666666666667,0.9797297297297297,0.02,0.02,0.0,2917.2966666666666,2529.07,388.22666666666646,0.0,8078.320332657624,0.5816312179788035,full,t,False
antique,llm,15,0.02,plugin_exact,80,pilot,0.95,0.0,0.9866666666666667,0.9628378378378378,0.02,0.02,0.0,2916.08,2529.07,387.00999999999976,0.0,8286.771628415634,0.5816312179788035,full,t,False
antique,llm,15,0.02,per_pair,80,pilot,0.52,0.0,0.9866666666666667,0.527027027027027,0.02,0.02,0.0,2909.4133333333334,2529.07,380.34333333333325,0.0,,0.5816312179788035,full,t,False
