collection,judge,budget_full_eq,eps,method,act,wrong,nonoverlap
dbpedia-entity,llm,30,0.01,static_sum,0.33,0.0,0.5391753660167717
dbpedia-entity,llm,30,0.01,per_pair,0.3,0.0,0.5391753660167717
dbpedia-entity,llm,30,0.01,adaptive,0.3333333333333333,0.0,0.5391753660167717
dbpedia-entity,llm,30,0.01,oracle,0.36666666666666664,0.0,0.5391753660167717
dbpedia-entity,llm,30,0.02,static_sum,0.3933333333333333,0.0,0.5470883689020485
dbpedia-entity,llm,30,0.02,per_pair,0.36,0.0,0.5470883689020485
dbpedia-entity,llm,30,0.02,adaptive,0.42333333333333334,0.0,0.5470883689020485
dbpedia-entity,llm,30,0.02,oracle,0.4066666666666667,0.0,0.5470883689020485
dbpedia-entity,llm,45,0.01,static_sum,0.38666666666666666,0.0,0.5392289190261358
dbpedia-entity,llm,45,0.01,per_pair,0.38666666666666666,0.0,0.5392289190261358
dbpedia-entity,llm,45,0.01,adaptive,0.4033333333333333,0.0,0.5392289190261358
dbpedia-entity,llm,45,0.01,oracle,0.4266666666666667,0.0,0.5392289190261358
dbpedia-entity,llm,45,0.02,static_sum,0.45,0.0,0.5456961384390058
dbpedia-entity,llm,45,0.02,per_pair,0.42,0.0,0.5456961384390058
dbpedia-entity,llm,45,0.02,adaptive,0.4766666666666667,0.0,0.5456961384390058
dbpedia-entity,llm,45,0.02,oracle,0.51,0.0,0.5456961384390058
dbpedia-entity,llm,60,0.01,static_sum,0.45,0.0,0.5550340304019951
dbpedia-entity,llm,60,0.01,per_pair,0.3933333333333333,0.0,0.5550340304019951
dbpedia-entity,llm,60,0.01,adaptive,0.44666666666666666,0.0,0.5550340304019951
dbpedia-entity,llm,60,0.01,oracle,0.4533333333333333,0.0,0.5550340304019951
dbpedia-entity,llm,60,0.02,static_sum,0.54,0.0,0.5633972254189058
dbpedia-entity,llm,60,0.02,per_pair,0.4866666666666667,0.0,0.5633972254189058
dbpedia-entity,llm,60,0.02,adaptive,0.5333333333333333,0.0,0.5633972254189058
dbpedia-entity,llm,60,0.02,oracle,0.53,0.0,0.5633972254189058
dbpedia-entity,llm,90,0.01,static_sum,0.5033333333333333,0.0,0.5701046744323615
dbpedia-entity,llm,90,0.01,per_pair,0.42333333333333334,0.0,0.5701046744323615
dbpedia-entity,llm,90,0.01,adaptive,0.5033333333333333,0.0,0.5701046744323615
dbpedia-entity,llm,90,0.01,oracle,0.52,0.0,0.5701046744323615
dbpedia-entity,llm,90,0.02,static_sum,0.64,0.0,0.5593627830054582
dbpedia-entity,llm,90,0.02,per_pair,0.56,0.0,0.5593627830054582
dbpedia-entity,llm,90,0.02,adaptive,0.6366666666666667,0.0,0.5593627830054582
dbpedia-entity,llm,90,0.02,oracle,0.6266666666666667,0.0,0.5593627830054582
