collection,J50_base,J50_oracle,J50_plugin,J50_static_v,saving_oracle,saving_plugin,recovery,wrong_plugin,saving_oracle_ex_pilot,obj_ratio_static_over_oracle,nonoverlap,pilot_share
antique,1067.2147474747476,1051.9748717948717,1074.8681904761904,1080.76688172043,0.014280045994432333,-0.007171417954589199,-0.5021985193454773,0.0,0.035246914323473266,1.5982848411483719,0.5804546288099546,0.41971820812701266
cast19,4349.255761904762,3629.199369369369,3802.410185185184,4377.867948717948,0.16555853045994318,0.12573313841632672,0.7594482632034942,0.0,0.21337475607218137,2.1880170528145255,0.5990136063088576,0.3009741154955737
dbpedia-entity,2364.8188888888894,2348.999074074074,2655.1521212121215,2410.1966666666667,0.006689651748446712,-0.12277186793769457,-18.35250511601017,0.0,0.011843729922973889,1.5624803384214465,0.5537186740871155,0.34049284138804575
dl212223,2283.8069105691056,2156.8753846153845,2219.2766666666666,2245.6208860759493,0.05557892191599112,0.02825556031195242,0.5083862611560074,0.0,0.14145831761533678,2.1359907173473593,0.8290812015436562,0.49518146902676907
