collection,J50_base,J50_oracle,J50_plugin,J50_static_v,saving_oracle,saving_plugin,recovery,wrong_plugin,saving_oracle_ex_pilot,obj_ratio_static_over_oracle,nonoverlap,pilot_share
antique,1412.0966666666666,1413.14,1414.7266666666667,1414.3533333333332,-0.0007388540444588365,-0.0018624787254886144,,0.0,-0.0013402128069539554,1.9432488560583996,0.5826189037515053,0.27147684578783177
cast19,,,,,,,,0.0,,1.9341942912071204,0.5960839405582197,0.377955834904502
dbpedia-entity,2419.9253333333336,2350.672666666667,2352.2006666666666,2517.4944444444445,0.02861768737768222,0.02798626293703843,0.9779358676922218,0.0,0.050227247992372326,1.5585536476405737,0.5530329545150703,0.403652934194778
dl212223,2540.26,2539.4866666666667,2538.18,2535.99,0.00030443078005149005,0.000818813822207276,2.68965517241357,0.0,0.0006697807622799701,2.4435552696151555,0.8233544613144578,0.3750153630258082
