collection,judge,budget_full_eq,eps,method,act,wrong,var_est
antique,inv,60,0.05310813416133364,uniform,0.01,0.01,0.21330857011371565
antique,inv,60,0.05310813416133364,weighted,0.0033333333333333335,0.0033333333333333335,0.05385615182457671
antique,inv,60,0.05310813416133364,active_judge,0.0033333333333333335,0.0033333333333333335,0.14394821856457674
antique,inv,60,0.05310813416133364,strat_pilot,0.0,0.0,0.05332526635971087
antique,inv,60,0.05310813416133364,weighted_cv,0.006666666666666667,0.006666666666666667,0.06716494577171203
antique,inv,60,0.05310813416133364,active_cv,0.006666666666666667,0.006666666666666667,0.19073288037896344
antique,inv,60,0.05310813416133364,weighted_cvl,0.0,0.0,0.053598692726287755
antique,inv,90,0.05397838737779675,uniform,0.01,0.01,0.11706954451047741
antique,inv,90,0.05397838737779675,weighted,0.0,0.0,0.031870713741131734
antique,inv,90,0.05397838737779675,active_judge,0.0,0.0,0.07002584197786829
antique,inv,90,0.05397838737779675,strat_pilot,0.0,0.0,0.031689786160772296
antique,inv,90,0.05397838737779675,weighted_cv,0.0,0.0,0.036920924457996454
antique,inv,90,0.05397838737779675,active_cv,0.006666666666666667,0.006666666666666667,0.0901377570670083
antique,inv,90,0.05397838737779675,weighted_cvl,0.0,0.0,0.031964289834527086
