collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
trec-covid,llm,30,0.01,uniform,0.5266666666666666,0.0,0.12079917508867197,2279.6833333333334,833.7066666666667,0.0,shared,full,t,0.2966666666666667,0.47333333333333333
trec-covid,llm,30,0.01,uniform_nz,0.9966666666666667,0.0,0.033396780418712656,2263.576666666667,833.7066666666667,0.0,shared,full,t,0.8933333333333333,0.98
trec-covid,llm,30,0.01,weighted,1.0,0.0,0.02092220699946515,2265.68,833.7066666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.01,active_judge,1.0,0.0,0.023340423476073145,2243.9366666666665,833.7066666666667,0.0,shared,full,t,0.9866666666666667,1.0
trec-covid,llm,30,0.01,strat_pilot,1.0,0.0,0.02118247170573377,2264.19,833.7066666666667,0.0,shared,full,t,0.99,1.0
trec-covid,llm,30,0.01,weighted_cv,1.0,0.0,0.017237529303183088,2263.75,833.7066666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.01,active_cv,1.0,0.0,0.017570640583907594,2244.0433333333335,833.7066666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.01,weighted_cvl,1.0,0.0,0.01839336512592676,2265.3166666666666,833.7066666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.02,uniform,0.6,0.0,0.12307053133063585,2284.233333333333,832.9866666666667,0.0,shared,full,t,0.32,0.5433333333333333
trec-covid,llm,30,0.02,uniform_nz,0.9966666666666667,0.0,0.03354339042415428,2264.3033333333333,832.9866666666667,0.0,shared,full,t,0.9133333333333333,0.9966666666666667
trec-covid,llm,30,0.02,weighted,1.0,0.0,0.02089528392932671,2264.2766666666666,832.9866666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.02,active_judge,1.0,0.0,0.02308455284546141,2243.9733333333334,832.9866666666667,0.0,shared,full,t,0.99,1.0
trec-covid,llm,30,0.02,strat_pilot,1.0,0.0,0.021093623803279837,2266.076666666667,832.9866666666667,0.0,shared,full,t,0.9966666666666667,1.0
trec-covid,llm,30,0.02,weighted_cv,1.0,0.0,0.016724649951915454,2262.5266666666666,832.9866666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.02,active_cv,1.0,0.0,0.017167525024217225,2244.6266666666666,832.9866666666667,0.0,shared,full,t,1.0,1.0
trec-covid,llm,30,0.02,weighted_cvl,1.0,0.0,0.01791825042306704,2264.1266666666666,832.9866666666667,0.0,shared,full,t,1.0,1.0
