collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,llm,30,0.01,uniform,0.0,0.003,
cast19,llm,30,0.01,weighted,0.01,0.003,
cast19,llm,30,0.01,active_judge,0.01,0.003,
cast19,llm,30,0.01,strat_pilot,0.04,0.003,
cast19,llm,30,0.01,weighted_cv,0.02,0.003,
cast19,llm,30,0.01,active_cv,0.01,0.003,
cast19,llm,30,0.02,uniform,0.01,0.0,
cast19,llm,30,0.02,weighted,0.03,0.0,
cast19,llm,30,0.02,active_judge,0.01,0.0,
cast19,llm,30,0.02,strat_pilot,0.02,0.0,
cast19,llm,30,0.02,weighted_cv,0.1,0.0,
cast19,llm,30,0.02,active_cv,0.04,0.0,
cast19,llm,45,0.01,uniform,0.01,0.0,
cast19,llm,45,0.01,weighted,0.05,0.0,
cast19,llm,45,0.01,active_judge,0.01,0.0,
cast19,llm,45,0.01,strat_pilot,0.05,0.0,
cast19,llm,45,0.01,weighted_cv,0.07,0.0,
cast19,llm,45,0.01,active_cv,0.04,0.0,
cast19,llm,45,0.02,uniform,0.04,0.003,
cast19,llm,45,0.02,weighted,0.13,0.003,
cast19,llm,45,0.02,active_judge,0.04,0.003,
cast19,llm,45,0.02,strat_pilot,0.14,0.003,
cast19,llm,45,0.02,weighted_cv,0.24,0.003,
cast19,llm,45,0.02,active_cv,0.13,0.003,
cast19,llm,60,0.01,uniform,0.02,0.003,
cast19,llm,60,0.01,weighted,0.1,0.003,
cast19,llm,60,0.01,active_judge,0.07,0.003,
cast19,llm,60,0.01,strat_pilot,0.1,0.003,
cast19,llm,60,0.01,weighted_cv,0.12,0.003,
cast19,llm,60,0.01,active_cv,0.09,0.003,
cast19,llm,60,0.02,uniform,0.05,0.0,
cast19,llm,60,0.02,weighted,0.22,0.0,
cast19,llm,60,0.02,active_judge,0.12,0.0,
cast19,llm,60,0.02,strat_pilot,0.24,0.0,
cast19,llm,60,0.02,weighted_cv,0.33,0.0,
cast19,llm,60,0.02,active_cv,0.2,0.0,
cast19,llm,90,0.01,uniform,0.05,0.003,
cast19,llm,90,0.01,weighted,0.19,0.003,
cast19,llm,90,0.01,active_judge,0.13,0.003,
cast19,llm,90,0.01,strat_pilot,0.16,0.003,
cast19,llm,90,0.01,weighted_cv,0.17,0.003,
cast19,llm,90,0.01,active_cv,0.17,0.003,
cast19,llm,90,0.02,uniform,0.09,0.0,
cast19,llm,90,0.02,weighted,0.39,0.0,
cast19,llm,90,0.02,active_judge,0.28,0.0,
cast19,llm,90,0.02,strat_pilot,0.37,0.0,
cast19,llm,90,0.02,weighted_cv,0.42,0.0,
cast19,llm,90,0.02,active_cv,0.4,0.0,
