collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
cast19,llm,30,0.01,weighted_cv,0.05,0.0,711.0,
cast19,llm,30,0.01,ai_calib,0.01,0.0,711.0,
cast19,llm,30,0.01,ai_resid,0.04,0.0,711.0,
cast19,llm,30,0.01,ai_robust_0.5,0.04,0.0,711.0,
cast19,llm,30,0.01,ai_robust_0.3,0.03,0.0,711.0,
cast19,llm,30,0.02,weighted_cv,0.08,0.0,728.0,
cast19,llm,30,0.02,ai_calib,0.06,0.0,728.0,
cast19,llm,30,0.02,ai_resid,0.08,0.0,728.0,
cast19,llm,30,0.02,ai_robust_0.5,0.09,0.0,728.0,
cast19,llm,30,0.02,ai_robust_0.3,0.06,0.0,728.0,
cast19,llm,45,0.01,weighted_cv,0.13,0.0,1059.0,
cast19,llm,45,0.01,ai_calib,0.08,0.0,1059.0,
cast19,llm,45,0.01,ai_resid,0.09,0.0,1059.0,
cast19,llm,45,0.01,ai_robust_0.5,0.09,0.0,1059.0,
cast19,llm,45,0.01,ai_robust_0.3,0.1,0.0,1059.0,
cast19,llm,45,0.02,weighted_cv,0.24,0.0,1078.0,
cast19,llm,45,0.02,ai_calib,0.15,0.0,1078.0,
cast19,llm,45,0.02,ai_resid,0.23,0.0,1078.0,
cast19,llm,45,0.02,ai_robust_0.5,0.18,0.0,1078.0,
cast19,llm,45,0.02,ai_robust_0.3,0.24,0.0,1078.0,
cast19,llm,60,0.01,weighted_cv,0.15,0.0,1471.0,
cast19,llm,60,0.01,ai_calib,0.1,0.0,1471.0,
cast19,llm,60,0.01,ai_resid,0.16,0.0,1471.0,
cast19,llm,60,0.01,ai_robust_0.5,0.13,0.0,1471.0,
cast19,llm,60,0.01,ai_robust_0.3,0.12,0.0,1471.0,
cast19,llm,60,0.02,weighted_cv,0.35,0.0,1437.0,
cast19,llm,60,0.02,ai_calib,0.24,0.0,1437.0,
cast19,llm,60,0.02,ai_resid,0.3,0.0,1437.0,
cast19,llm,60,0.02,ai_robust_0.5,0.34,0.0,1437.0,
cast19,llm,60,0.02,ai_robust_0.3,0.29,0.0,1437.0,
cast19,llm,90,0.01,weighted_cv,0.2,0.0,2131.0,
cast19,llm,90,0.01,ai_calib,0.2,0.0,2131.0,
cast19,llm,90,0.01,ai_resid,0.23,0.0,2131.0,
cast19,llm,90,0.01,ai_robust_0.5,0.22,0.0,2131.0,
cast19,llm,90,0.01,ai_robust_0.3,0.21,0.0,2131.0,
cast19,llm,90,0.02,weighted_cv,0.41,0.0,2101.0,
cast19,llm,90,0.02,ai_calib,0.39,0.0,2101.0,
cast19,llm,90,0.02,ai_resid,0.43,0.0,2101.0,
cast19,llm,90,0.02,ai_robust_0.5,0.42,0.0,2101.0,
cast19,llm,90,0.02,ai_robust_0.3,0.4,0.0,2101.0,
