collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
antique,inv,150,0.01,weighted_cv,0.9266666666666666,0.0,3527.1433333333334,631.3333333333334,0.0,0.03508007094844563,shared,full,binary,t
antique,inv,150,0.01,ai_calib,0.9133333333333333,0.0,3486.0066666666667,631.3333333333334,0.0,0.04455654139367601,shared,full,binary,t
antique,inv,150,0.01,ai_resid,0.9233333333333333,0.0,3523.423333333333,631.3333333333334,0.0,0.03572657507332059,shared,full,binary,t
antique,inv,150,0.01,ai_robust_0.5,0.9133333333333333,0.0,3524.7033333333334,631.3333333333334,0.0,0.03502329989473784,shared,full,binary,t
antique,inv,150,0.01,ai_robust_0.3,0.91,0.0,3523.5433333333335,631.3333333333334,0.0,0.03506901998747427,shared,full,binary,t
antique,inv,150,0.02,weighted_cv,0.9366666666666666,0.0,3522.8,631.45,0.0,0.03507010141191999,shared,full,binary,t
antique,inv,150,0.02,ai_calib,0.9233333333333333,0.0,3480.8133333333335,631.45,0.0,0.04471060267306986,shared,full,binary,t
antique,inv,150,0.02,ai_resid,0.94,0.0,3519.6666666666665,631.45,0.0,0.03487591270106102,shared,full,binary,t
antique,inv,150,0.02,ai_robust_0.5,0.94,0.0,3521.24,631.45,0.0,0.03507978741332946,shared,full,binary,t
antique,inv,150,0.02,ai_robust_0.3,0.9433333333333334,0.0,3521.733333333333,631.45,0.0,0.035014170607330315,shared,full,binary,t
