stack,collection,judge_acc,rho_glob_probe_vs_trunc,rho_glob_probe_vs_ad_probe,rho_trunc_vs_ad_probe,judge_err_in_band,judge_err_out_band,band_frac,n_queries,c_star
legacy,nfcorpus,0.8677490880480653,0.10528677672857746,0.09069226353755191,0.08990347482469281,0.14627659574468085,0.13166132518446746,0.04034046205564695,323,14.994823516608756
legacy,scifact,0.9084563222975668,0.24272193400652717,0.2011059339892394,0.03690830339984608,0.2694063926940639,0.08838096784670348,0.017471080973274832,300,0.5765479088004115
legacy,arguana,0.8219643040194995,0.1538809936481379,0.08182677311124023,0.14374896687316027,0.30230619616560156,0.16693755505651434,0.08198457806075378,1406,0.35704563659008903
legacy,cqadupstack-android,0.6100898045430534,-0.04425479762712722,-0.04075048994920652,-0.1744281981925685,0.6968954248366013,0.38314796818198177,0.021553090332805072,699,0.36696960510720544
modern,nfcorpus,0.8606809967662165,0.271453424630677,0.14897892666732448,0.2542581537623216,0.14556962025316456,0.13912531868993921,0.030055164542514744,323,13.873219121216042
modern,scifact,0.9012296532200991,0.13862499009301898,0.09553966329083007,-0.046964341955910156,0.27790973871733965,0.09537116329382071,0.018621726822363766,300,0.5785038563272797
modern,arguana,0.816283950168007,0.21533940759310694,0.07189608459267482,0.19884287654041582,0.3022214854111406,0.1743603167331981,0.07317102757257057,1406,0.4135570340528685
modern,cqadupstack-android,0.5615633780830471,-0.0034196886402724823,0.06632698524956282,-0.16998338136075436,0.7450980392156863,0.42769721694874174,0.033835466749921946,699,0.3866357017133971
