collection,judge,eps,J50_weighted,J50_cvl,J50_rule,saving_always_cvl,saving_rule,frac_pilots_use_judge,wrong_rule_max,pilot_agreement
trec-covid,rr,0.01,1894.999619047619,1845.3159360730594,1863.4670666666666,0.026218307631918902,0.016639872675436207,0.3373333333333333,0.0,0.6626666666666666
webis-touche2020,rr,0.01,830.3221468926554,820.7878787878789,830.144,0.011482613273001263,0.00021455153680061123,0.039,0.0,0.961
