collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,L_post_pred_v2_med,saving_pred_v2_med,frac_draws_recommend_v2,L_post_pred_v3_med,saving_pred_v3_med,frac_draws_recommend_v3,L_post_pred_v4_med,saving_pred_v4_med,frac_draws_recommend_v4,slack_xfit_med,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
trec-covid,rr,0.01,active_cv,1666.5723333333335,1894.999619047619,1767.2954471544715,0.12054212751192406,0.4915551938087821,0.4275754562095849,0.5669988289237424,0.44094169182188425,0.06128901866067729,0.06739007787100693,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,0.15072097415878088,0.9933333333333333,247.88052211379832,0.06617868442754024,0.73,247.89012005328595,0.065921208275206,0.7266666666666667,249.21487745689672,0.06651363394256851,0.7366666666666667,0.09478097296729565,0.8,1,0.095109608623082,0.01
trec-covid,rr,0.01,active_judge,1666.5723333333335,1894.999619047619,2105.9759139784946,0.12054212751192406,2.341345931757595,2.2574337119940266,2.419165600472768,1.9236037379298137,-0.16168869234352456,-0.11133315954802514,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,-0.3914618744276598,0.0,247.88052211379832,-0.17308215581935066,0.0,247.89012005328595,-0.17205216415354108,0.0,249.21487745689672,-0.17261661957028215,0.0,0.09478097296729565,0.0,0,0.095109608623082,0.01
trec-covid,rr,0.01,strat_pilot,1666.5723333333335,1894.999619047619,1887.5272839506174,0.12054212751192406,1.0196800607039478,1.0080131561150325,1.0364443113185582,0.9672879048856363,-0.0023722763868176937,0.003943185540457805,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,-0.005494982386076833,0.0,247.88052211379832,-0.0024886410555246654,0.0,247.89012005328595,-0.002476826824229253,0.0,249.21487745689672,-0.0025202492104506296,0.0,0.09478097296729565,0.0,0,0.095109608623082,0.01
trec-covid,rr,0.01,uniform,1666.5723333333335,1894.999619047619,2533.9094166666664,0.12054212751192406,5.771234914167044,3.4945689512485623,6.614785858533179,3.7969942190627313,-0.5751348074128678,-0.33715563380437397,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,-1.301792989239041,0.0,247.88052211379832,-0.5737224022760066,0.0,247.89012005328595,-0.5716984969751413,0.0,249.21487745689672,-0.5741917503958021,0.0,0.09478097296729565,0.0,0,0.095109608623082,0.01
trec-covid,rr,0.01,uniform_nz,1666.5723333333335,1894.999619047619,2137.6648205128204,0.12054212751192406,2.948182092991165,1.9708899776077604,3.390720085386232,2.062330188385307,-0.23483801426978812,-0.1280555410281079,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,-0.5268895746867741,0.0,247.88052211379832,-0.22905755243011583,0.0,247.89012005328595,-0.22925391828505093,0.0,249.21487745689672,-0.22966419574629238,0.0,0.09478097296729565,0.0,0,0.095109608623082,0.01
trec-covid,rr,0.01,weighted_cv,1666.5723333333335,1894.999619047619,1771.635319148936,0.12054212751192406,0.3908369814951016,0.3627633222454879,0.41483317256140884,0.45994061299233,0.07342980625216602,0.06509990749269012,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,0.17892254231070556,1.0,247.88052211379832,0.07924925312321102,0.89,247.89012005328595,0.07905993488326321,0.8933333333333333,249.21487745689672,0.07963390289316032,0.8933333333333333,0.09478097296729565,1.0,1,0.095109608623082,0.01
trec-covid,rr,0.01,weighted_cvl,1666.5723333333335,1894.999619047619,1845.3159360730594,0.12054212751192406,0.8302835056180043,0.5406304611309095,1.0,0.7824967239828633,0.02045798730667126,0.026218307631918902,228.42728571428552,688.557005871659,533.2397574402316,1023.565808431058,0.29236483642375805,0.07020185044937259,0.5166666666666667,247.88052211379832,0.03264966477946998,0.36,247.89012005328595,0.03240477096742671,0.3566666666666667,249.21487745689672,0.03212577935274774,0.36,0.09478097296729565,0.31666666666666665,0,0.095109608623082,0.01
webis-touche2020,rr,0.01,active_cv,758.4026666666666,830.3221468926554,832.3392307692308,0.08661635787403199,1.630898547806023,1.4698757314546316,1.8384247622562873,1.0280464189985412,-0.054646134398973575,-0.0024292786650625953,71.91948022598876,356.1466542686087,261.11825358821034,550.5149447516876,0.31954319762805217,-0.20369961889901217,0.0,124.74774520612297,-0.09441628762826637,0.0,62.988397936712566,-0.04915767392796226,0.0,125.53345491864661,-0.09373277505458233,0.0,0.0516995752514412,0.0,0,0.05238176776509655,0.01
webis-touche2020,rr,0.01,active_judge,758.4026666666666,830.3221468926554,886.9371428571428,0.08661635787403199,2.550522321780459,2.3173937661627377,2.763845815239851,1.7871997376314337,-0.13430059631501123,-0.06818437419302836,71.91948022598876,356.1466542686087,261.11825358821034,550.5149447516876,0.31954319762805217,-0.5063611698622277,0.0,124.74774520612297,-0.22287705918930803,0.0,62.988397936712566,-0.11993575557520514,0.0,125.53345491864661,-0.22185661254745886,0.0,0.0516995752514412,0.0,0,0.05238176776509655,0.01
webis-touche2020,rr,0.01,strat_pilot,758.4026666666666,830.3221468926554,831.5677777777778,0.08661635787403199,1.014262873475253,1.0094344359128742,1.018962881067017,1.0173197982133397,-0.0012353981532445438,-0.0015001778403527233,71.91948022598876,356.1466542686087,261.11825358821034,550.5149447516876,0.31954319762805217,-0.004526959036281825,0.0,124.74774520612297,-0.0021435176215375226,0.0,62.988397936712566,-0.0011365511481358044,0.0,125.53345491864661,-0.0021337490518507593,0.0,0.0516995752514412,0.0,0,0.05238176776509655,0.01
