collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
trec-covid,rr,0.02,active_cv,1665.8570370370371,1868.813153153153,1761.4466666666667,0.10860160940845176,0.49526398531602156,0.4232031297450326,0.5550232652499477,0.47098669140347826,0.054815143521088,0.057451696712072176,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,0.13021729789804723,0.9933333333333333,0.7,1,0.10301763070643595,0.02
trec-covid,rr,0.02,active_judge,1665.8570370370371,1868.813153153153,2031.7191891891891,0.10860160940845176,2.3343185036259566,2.249718339859626,2.4260596990212004,1.8026663061626276,-0.144909136957256,-0.08717085266719837,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,-0.3434288458828736,0.0,0.0,0,0.10301763070643595,0.02
trec-covid,rr,0.02,strat_pilot,1665.8570370370371,1868.813153153153,1866.4968148148148,0.10860160940845176,1.0184788378549703,1.007726284404904,1.039220371139835,0.9885869990879554,-0.0020068315310475837,0.0012394702672281488,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,-0.00465773308602991,0.0,0.0,0,0.10301763070643595,0.02
trec-covid,rr,0.02,uniform,1665.8570370370371,1868.813153153153,2453.1142424242425,0.10860160940845176,5.83617260899408,3.6584371079644336,6.573370952405487,3.878952851742577,-0.5252161287138282,-0.3126589131102957,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,-1.1180336574902703,0.0,0.0,0,0.10301763070643595,0.02
trec-covid,rr,0.02,uniform_nz,1665.8570370370371,1868.813153153153,2094.3167759562843,0.10860160940845176,2.9455959824800297,2.0230004949128326,3.3728258240620796,2.1110954777737048,-0.21129485495594913,-0.12066675709267694,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,-0.45994328559740527,0.0,0.0,0,0.10301763070643595,0.02
trec-covid,rr,0.02,weighted_cv,1665.8570370370371,1868.813153153153,1760.7733333333333,0.10860160940845176,0.3892088446604901,0.36035355005688396,0.41884239483382885,0.467669061236826,0.06633290248231843,0.05781199668759274,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,0.1605167227319701,1.0,1.0,1,0.10301763070643595,0.02
trec-covid,rr,0.02,weighted_cvl,1665.8570370370371,1868.813153153153,1817.3975308641975,0.10860160940845176,0.8756809175953592,0.5374444350289331,1.0,0.7466663076093777,0.013501252429325932,0.027512446711007277,202.95611611611594,592.1363343444586,433.8433512992957,829.4884802881907,0.26223876129306234,0.044134673354781426,0.48333333333333334,0.25333333333333335,0,0.10301763070643595,0.02
webis-touche2020,rr,0.02,active_cv,758.3855555555555,816.3777254901961,813.4746527777778,0.07103595324066325,1.642951930622299,1.4833540813702653,1.8653981277155633,0.9499402640789236,-0.0456727032796798,0.0035560410601295223,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,-0.15612491052911542,0.0,0.0,0,0.0617601852195505,0.02
webis-touche2020,rr,0.02,active_judge,758.3855555555555,816.3777254901961,837.7301801801802,0.07103595324066325,2.558600143489861,2.315748670529234,2.791378216472893,1.3681954773213205,-0.11071664691383679,-0.026155116710421034,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,-0.38299995205410964,0.0,0.0,0,0.0617601852195505,0.02
webis-touche2020,rr,0.02,strat_pilot,758.3855555555555,816.3777254901961,812.5388505747126,0.07103595324066325,1.0145628128961743,1.0093330899140158,1.0197808504928632,0.9338035648638413,-0.0010344832959451682,0.004702326871030782,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,-0.0034101609069066225,0.0,0.0,0,0.0617601852195505,0.02
webis-touche2020,rr,0.02,uniform,758.3855555555555,816.3777254901961,865.5993333333333,0.07103595324066325,1.9453203142036837,1.70226641703238,2.979684393524979,1.8487629950493636,-0.06715172963722196,-0.06029268842873203,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,-0.27085630510419856,0.0,0.0,0,0.0617601852195505,0.02
webis-touche2020,rr,0.02,uniform_nz,758.3855555555555,816.3777254901961,836.342925170068,0.07103595324066325,1.4063759930150388,1.226944329243111,1.508064322873336,1.3442740580732446,-0.028867306037944386,-0.02445583589126432,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,-0.09290252558253059,0.0,0.0,0,0.0617601852195505,0.02
webis-touche2020,rr,0.02,weighted_cv,758.3855555555555,816.3777254901961,810.98,0.07103595324066325,0.8353692894250224,0.7832054759831943,0.8750411429859264,0.9069232019377871,0.01169469945838127,0.0066117990749380295,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,0.04094127936686983,0.3333333333333333,0.0,0,0.0617601852195505,0.02
webis-touche2020,rr,0.02,weighted_cvl,758.3855555555555,816.3777254901961,810.5933333333334,0.07103595324066325,0.7630388222922361,0.725334514142732,0.8003714689396838,0.9002556351420896,0.016832763139501213,0.007085436038066217,57.99216993464063,245.5799710313887,188.04808991486718,354.2844569578673,0.2446098787143861,0.05914285948808369,0.63,0.0,0,0.0617601852195505,0.02
