collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,mc_var_human,mc_var_ppi,mc_mse_human,mc_mse_ppi,mc_gain,cover90_human,cover90_ppi,theory_gain,lam_mean
trec-covid,rr,glob_probe_vs_trunc,10,50,0.6677070828331333,0.7587162903984663,0.5020288027359348,0.052482043228120265,0.050358281626028824,1.08612463606227,0.0021897784594627485,0.0013477103080903054,0.002186599374722037,0.001345015213659722,1.6257060533705077,0.932,0.968,2.3565475776426337,0.6577578292122992
trec-covid,rr,glob_probe_vs_trunc,30,50,0.6677070828331333,0.7587162903984663,0.5020288027359348,0.030966276920769586,0.036744731139619895,0.7102117259215002,0.00039632232480321243,0.0007255947180492688,0.0003968914300600851,0.0007267405283971469,0.5461253563709235,0.99,0.972,2.3565475776426337,0.6800758759805577
trec-covid,rr,glob_probe_vs_ad_probe,10,50,0.6677070828331333,0.741268961577377,0.016193995523809544,0.010858982921299219,0.00996016096343996,1.1886269863645311,0.00011959789132024828,8.139662412521218e-05,0.00011939246443480294,8.134708299660375e-05,1.4676920184069489,0.914,0.954,2.2196556757880295,0.5222489546859694
trec-covid,rr,glob_probe_vs_ad_probe,30,50,0.6677070828331333,0.741268961577377,0.016193995523809544,0.0067759029394918605,0.00735253658709253,0.8492977317069703,2.0603240709931177e-05,2.4355861907201294e-05,2.0576972820728085e-05,2.4393704984988787e-05,0.8435361841667999,0.948,0.992,2.2196556757880295,0.6337980101124263
trec-covid,rr,trunc_vs_ad_probe,10,50,0.6677070828331333,0.7908146297046995,-0.4858348072121251,0.05268867260572955,0.04756691555000991,1.2269434130594883,0.0021678797586842367,0.0012896446372163597,0.002171363561034868,0.0012882843595595033,1.6854691628619256,0.936,0.958,2.669427057511971,0.714472213082963
trec-covid,rr,trunc_vs_ad_probe,30,50,0.6677070828331333,0.7908146297046995,-0.4858348072121251,0.030920127472392655,0.03678048129432163,0.7067205753791808,0.0003500347751948901,0.0007250832009877108,0.0003507680703373701,0.0007256771220547659,0.483366582295119,0.996,0.974,2.669427057511971,0.7323655254529768
webis-touche2020,rr,glob_probe_vs_trunc,10,49,0.573735199138859,0.40209532893729366,0.03990315722547208,0.031112416459476315,0.03200244440951832,0.945150967573356,0.0009111357649392473,0.0008677710746077784,0.0009129916845930525,0.0008715982923698819,1.0474913645259925,0.87,0.9,1.1928628442591345,0.5188130263346689
webis-touche2020,rr,glob_probe_vs_trunc,30,49,0.573735199138859,0.40209532893729366,0.03990315722547208,0.019211695458094983,0.02224159768989685,0.7461040981928994,0.00014949165929185288,0.0003000138385376816,0.00014919420009905455,0.00029983563983515706,0.497586611721936,0.958,0.966,1.1928628442591345,0.5534089794135909
webis-touche2020,rr,glob_probe_vs_ad_probe,10,49,0.573735199138859,0.24074846116151988,0.006155759102015275,0.012498440290393112,0.01314173348776163,0.9044953291477363,0.00016205802389704377,0.00018549037249627407,0.000161737604387836,0.00018513125881674129,0.8736374690129324,0.938,0.936,1.0615258487669876,0.47112127538728976
webis-touche2020,rr,glob_probe_vs_ad_probe,30,49,0.573735199138859,0.24074846116151988,0.006155759102015275,0.007780622167713467,0.00858886458065821,0.8206484276032082,2.3533006524874607e-05,3.8627915830245883e-05,2.3611788718210082e-05,3.876491745684642e-05,0.6091019991076987,0.99,0.974,1.0615258487669876,0.4026423682323066
webis-touche2020,rr,trunc_vs_ad_probe,10,49,0.573735199138859,0.4175206609222063,-0.033747398123456805,0.026213573734008164,0.027099346746965756,0.9356961057985884,0.0006556571670941689,0.000735185652633691,0.0006548443785452922,0.0007363581673992878,0.8893014398931832,0.884,0.92,1.2111280904589865,0.46032419734042523
webis-touche2020,rr,trunc_vs_ad_probe,30,49,0.573735199138859,0.4175206609222063,-0.033747398123456805,0.016631711074229852,0.019187821115801126,0.751315834031815,0.00011245534347960612,0.0002444574576301768,0.00011223657174527335,0.00024436359462107237,0.459301525332836,0.938,0.968,1.2111280904589865,0.4401588884028711
dbpedia-entity,rr,glob_probe_vs_trunc,10,399,0.720604676031692,0.541166515395052,0.0582466748878944,0.06410730911959653,0.06060306638783571,1.1189892069244263,0.004857934647276649,0.00428309382833647,0.004859816615477067,0.004274531580409938,1.1369237831226875,0.88,0.908,1.4141495224158946,0.4595263649620299
dbpedia-entity,rr,glob_probe_vs_trunc,30,399,0.720604676031692,0.541166515395052,0.0582466748878944,0.03796019410278386,0.034430881776809114,1.215515660500215,0.001380737606098819,0.0010323227254721576,0.0013788469275282608,0.0010303128667504546,1.3382798293852836,0.904,0.912,1.4141495224158946,0.46654196529061825
dbpedia-entity,rr,glob_probe_vs_trunc,90,399,0.720604676031692,0.541166515395052,0.0582466748878944,0.021996015358109525,0.01997167214847336,1.2129954511170749,0.00033971672479662587,0.0002637394128272846,0.00033968083817633246,0.000263482770902891,1.289195635116214,0.956,0.952,1.4141495224158946,0.4636629780008463
dbpedia-entity,rr,glob_probe_vs_ad_probe,10,399,0.720604676031692,0.4423778654750497,0.01485148112080158,0.032839315976053586,0.0319003038757387,1.0597381396070533,0.0011281120132847168,0.001191173903299165,0.0011332639687869719,0.0012022528376230861,0.9426170047787047,0.876,0.876,1.2433143503958375,0.42000495880099864
dbpedia-entity,rr,glob_probe_vs_ad_probe,30,399,0.720604676031692,0.4423778654750497,0.01485148112080158,0.01948653473752763,0.018364260918928666,1.1259583420270827,0.00032201756956059033,0.00029283935271523043,0.0003223792574775256,0.0002926154043615271,1.1017166310192787,0.902,0.918,1.2433143503958375,0.3769157669443954
dbpedia-entity,rr,glob_probe_vs_ad_probe,90,399,0.720604676031692,0.4423778654750497,0.01485148112080158,0.01141834310066634,0.010779267436234601,1.1220899774489743,9.60469339862735e-05,8.738983715132667e-05,9.610076973442292e-05,8.748131001337825e-05,1.098529156910505,0.946,0.944,1.2433143503958375,0.37064896645383333
dbpedia-entity,rr,trunc_vs_ad_probe,10,399,0.720604676031692,0.5712866525659352,-0.043395193767092825,0.046958276718909474,0.043484637799568585,1.1661450883610065,0.002655102195658115,0.002224312162740897,0.002654152379334663,0.002220423804938661,1.1953359414681577,0.856,0.888,1.4844910162898142,0.4837413520574496
dbpedia-entity,rr,trunc_vs_ad_probe,30,399,0.720604676031692,0.5712866525659352,-0.043395193767092825,0.027924451237602947,0.024817136364572848,1.266094028328773,0.0007387919757351257,0.0005493632838011026,0.0007381389544116436,0.0005483245439715372,1.3461716469324405,0.914,0.92,1.4844910162898142,0.4993060152410415
dbpedia-entity,rr,trunc_vs_ad_probe,90,399,0.720604676031692,0.5712866525659352,-0.043395193767092825,0.016230942054542452,0.014490980215716254,1.2545614184959752,0.00019489117571804096,0.0001486002928708888,0.00019544647002939523,0.00014990161335080737,1.3038316643864365,0.948,0.936,1.4844910162898142,0.5167561524955447
