collection,method,act_rate,mean_T,wrong_cert_rate
dl212223,loo_boot,1.0,47.3,0.01
dl212223,loo_sim,1.0,53.1,0.01
dl212223,recal_bp,0.0033333333333333335,209.46666666666667,0.0033333333333333335
dl212223,recal_bpu,0.0,210.0,0.0
dl212223,recal_bpx,0.0033333333333333335,209.46666666666667,0.0033333333333333335
dl212223,recal_bpxu,0.0,210.0,0.0
dl212223,recal_ep,0.013333333333333334,208.06666666666666,0.01
dl212223,split_auto,0.9933333333333333,92.10333333333334,0.0
dl212223,split_fp,1.0,160.71333333333334,0.0
dl212223,split_fp_ppi,0.9966666666666667,177.31,0.0
dl212223,split_ppi,1.0,93.62666666666667,0.0
dl212223,split_t,0.9933333333333333,92.10333333333334,0.0
