collection,judge,budget_full_eq,eps,method,act,wrong,lin_bias,lin_bias_abs,docs
dl212223,llm,30,0.01,human_full,0.10333333333333333,0.0,-0.027973321862464533,0.029971383201203957,2081.090047393365
dl212223,llm,30,0.01,weighted_plugin,0.7166666666666667,0.0,-0.027973321862464533,0.029971383201203957,2081.090047393365
dl212223,llm,30,0.01,judge_ppi,0.10333333333333333,0.0,-0.027973321862464533,0.029971383201203957,2081.090047393365
dl212223,llm,30,0.01,weighted_lin_cv,0.8566666666666667,0.0,-0.027973321862464533,0.029971383201203957,2081.090047393365
dl212223,llm,30,0.01,weighted_lin_cv_bc,0.42333333333333334,0.0,-0.027973321862464533,0.029971383201203957,2081.090047393365
dl212223,llm,30,0.02,human_full,0.14333333333333334,0.0,-0.02867292772107927,0.03100194027672098,2081.090047393365
dl212223,llm,30,0.02,weighted_plugin,0.8133333333333334,0.0,-0.02867292772107927,0.03100194027672098,2081.090047393365
dl212223,llm,30,0.02,judge_ppi,0.16,0.0,-0.02867292772107927,0.03100194027672098,2081.090047393365
dl212223,llm,30,0.02,weighted_lin_cv,0.9166666666666666,0.0,-0.02867292772107927,0.03100194027672098,2081.090047393365
dl212223,llm,30,0.02,weighted_lin_cv_bc,0.62,0.0,-0.02867292772107927,0.03100194027672098,2081.090047393365
dl212223,llm,60,0.01,human_full,0.7,0.0,-0.02805149375144272,0.028926203191940742,4162.18009478673
dl212223,llm,60,0.01,weighted_plugin,0.9666666666666667,0.0,-0.02805149375144272,0.028926203191940742,4162.18009478673
dl212223,llm,60,0.01,judge_ppi,0.6633333333333333,0.0,-0.02805149375144272,0.028926203191940742,4162.18009478673
dl212223,llm,60,0.01,weighted_lin_cv,0.9666666666666667,0.0,-0.02805149375144272,0.028926203191940742,4162.18009478673
dl212223,llm,60,0.01,weighted_lin_cv_bc,0.7866666666666666,0.0,-0.02805149375144272,0.028926203191940742,4162.18009478673
dl212223,llm,60,0.02,human_full,0.8266666666666667,0.0,-0.028670058045538193,0.02951386887812197,4162.18009478673
dl212223,llm,60,0.02,weighted_plugin,0.9733333333333334,0.0,-0.028670058045538193,0.02951386887812197,4162.18009478673
dl212223,llm,60,0.02,judge_ppi,0.83,0.0,-0.028670058045538193,0.02951386887812197,4162.18009478673
dl212223,llm,60,0.02,weighted_lin_cv,0.9733333333333334,0.0,-0.028670058045538193,0.02951386887812197,4162.18009478673
dl212223,llm,60,0.02,weighted_lin_cv_bc,0.91,0.0,-0.028670058045538193,0.02951386887812197,4162.18009478673
dl212223,llm,90,0.01,human_full,0.9133333333333333,0.0,-0.029153504178123412,0.02979619384824602,6243.270142180095
dl212223,llm,90,0.01,weighted_plugin,0.9566666666666667,0.0,-0.029153504178123412,0.02979619384824602,6243.270142180095
dl212223,llm,90,0.01,judge_ppi,0.8933333333333333,0.0,-0.029153504178123412,0.02979619384824602,6243.270142180095
dl212223,llm,90,0.01,weighted_lin_cv,0.9633333333333334,0.0,-0.029153504178123412,0.02979619384824602,6243.270142180095
dl212223,llm,90,0.01,weighted_lin_cv_bc,0.8266666666666667,0.0,-0.029153504178123412,0.02979619384824602,6243.270142180095
dl212223,llm,90,0.02,human_full,0.9666666666666667,0.0,-0.029004407895610384,0.02953020191742952,6243.270142180095
dl212223,llm,90,0.02,weighted_plugin,0.97,0.0,-0.029004407895610384,0.02953020191742952,6243.270142180095
dl212223,llm,90,0.02,judge_ppi,0.9633333333333334,0.0,-0.029004407895610384,0.02953020191742952,6243.270142180095
dl212223,llm,90,0.02,weighted_lin_cv,0.97,0.0,-0.029004407895610384,0.02953020191742952,6243.270142180095
dl212223,llm,90,0.02,weighted_lin_cv_bc,0.8933333333333333,0.0,-0.029004407895610384,0.02953020191742952,6243.270142180095
dl212223,llm,120,0.01,human_full,0.9433333333333334,0.0,-0.028677620940944084,0.02983559472854274,8324.36018957346
dl212223,llm,120,0.01,weighted_plugin,0.9466666666666667,0.0,-0.028677620940944084,0.02983559472854274,8324.36018957346
dl212223,llm,120,0.01,judge_ppi,0.9266666666666666,0.0,-0.028677620940944084,0.02983559472854274,8324.36018957346
dl212223,llm,120,0.01,weighted_lin_cv,0.95,0.0,-0.028677620940944084,0.02983559472854274,8324.36018957346
dl212223,llm,120,0.01,weighted_lin_cv_bc,0.8233333333333334,0.0,-0.028677620940944084,0.02983559472854274,8324.36018957346
dl212223,llm,120,0.02,human_full,0.9533333333333334,0.0,-0.028394747015207708,0.029248856422387455,8324.36018957346
dl212223,llm,120,0.02,weighted_plugin,0.9533333333333334,0.0,-0.028394747015207708,0.029248856422387455,8324.36018957346
dl212223,llm,120,0.02,judge_ppi,0.9533333333333334,0.0,-0.028394747015207708,0.029248856422387455,8324.36018957346
dl212223,llm,120,0.02,weighted_lin_cv,0.9533333333333334,0.0,-0.028394747015207708,0.029248856422387455,8324.36018957346
dl212223,llm,120,0.02,weighted_lin_cv_bc,0.9033333333333333,0.0,-0.028394747015207708,0.029248856422387455,8324.36018957346
