collection,judge,budget_full_eq,eps,method,act,wrong,lin_bias,lin_bias_abs,docs
dbpedia-entity,llm,60,0.024675897548408876,human_full,0.0033333333333333335,0.0033333333333333335,-0.001993978368341768,0.008959302706946554,3085.4135338345864
dbpedia-entity,llm,60,0.024675897548408876,weighted_plugin,0.0,0.0,-0.001993978368341768,0.008959302706946554,3085.4135338345864
dbpedia-entity,llm,60,0.024675897548408876,judge_ppi,0.0033333333333333335,0.0033333333333333335,-0.001993978368341768,0.008959302706946554,3085.4135338345864
dbpedia-entity,llm,60,0.024675897548408876,weighted_lin_cv,0.0033333333333333335,0.0033333333333333335,-0.001993978368341768,0.008959302706946554,3085.4135338345864
dbpedia-entity,llm,60,0.024675897548408876,weighted_lin_cv_bc,0.0033333333333333335,0.0033333333333333335,-0.001993978368341768,0.008959302706946554,3085.4135338345864
dbpedia-entity,llm,90,0.0316985823167499,human_full,0.0033333333333333335,0.0033333333333333335,-0.0025360404567161023,0.006503565499131372,4628.12030075188
dbpedia-entity,llm,90,0.0316985823167499,weighted_plugin,0.0,0.0,-0.0025360404567161023,0.006503565499131372,4628.12030075188
dbpedia-entity,llm,90,0.0316985823167499,judge_ppi,0.0,0.0,-0.0025360404567161023,0.006503565499131372,4628.12030075188
dbpedia-entity,llm,90,0.0316985823167499,weighted_lin_cv,0.01,0.01,-0.0025360404567161023,0.006503565499131372,4628.12030075188
dbpedia-entity,llm,90,0.0316985823167499,weighted_lin_cv_bc,0.013333333333333334,0.013333333333333334,-0.0025360404567161023,0.006503565499131372,4628.12030075188
