collection,judge,eps,J50_weighted,J50_cvl,J50_rule,saving_always_cvl,saving_rule,frac_pilots_use_judge,wrong_rule_max,pilot_agreement
trec-covid,rr,0.02,1136.3180952380953,1074.1579545454547,1084.9181395348837,0.054703116102024274,0.04523377381616167,0.5962962962962963,0.0,0.5962962962962963
webis-touche2020,rr,0.02,476.3529032258064,474.96971631205673,475.28360824742265,0.0029037020754631993,0.00224475377633393,0.38481481481481483,0.0,0.6151851851851852
