collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
cast19,rr,45,0.01,weighted_cv,0.25333333333333335,0.0,2077.68,977.5566666666666,0.0,0.0339725079139423,shared,full,binary,t
cast19,rr,45,0.01,ai_calib,0.16333333333333333,0.0,2078.576666666667,977.5566666666666,0.0,0.0473735449147348,shared,full,binary,t
cast19,rr,45,0.01,ai_resid,0.23333333333333334,0.0033333333333333335,2076.096666666667,977.5566666666666,0.0,0.03479212840755438,shared,full,binary,t
cast19,rr,45,0.01,ai_robust_0.5,0.26666666666666666,0.006666666666666667,2077.2833333333333,977.5566666666666,0.0,0.0324759594014326,shared,full,binary,t
cast19,rr,45,0.01,ai_robust_0.3,0.2833333333333333,0.0033333333333333335,2078.18,977.5566666666666,0.0,0.03215297778599722,shared,full,binary,t
cast19,rr,45,0.02,weighted_cv,0.5466666666666666,0.0,2084.79,974.4633333333334,0.0,0.03426491187125414,shared,full,binary,t
cast19,rr,45,0.02,ai_calib,0.35333333333333333,0.0,2083.95,974.4633333333334,0.0,0.047408152313342077,shared,full,binary,t
cast19,rr,45,0.02,ai_resid,0.5766666666666667,0.0,2086.79,974.4633333333334,0.0,0.038366969594263264,shared,full,binary,t
cast19,rr,45,0.02,ai_robust_0.5,0.5566666666666666,0.0,2089.153333333333,974.4633333333334,0.0,0.03298593121471433,shared,full,binary,t
cast19,rr,45,0.02,ai_robust_0.3,0.5366666666666666,0.0,2086.943333333333,974.4633333333334,0.0,0.03266369451957294,shared,full,binary,t
