collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,dup_frac,var_est,sampling,pilot_cost,cv_pred,bound
cast19,inv,30,0.01,weighted_cv,0.13333333333333333,0.0,1696.3133333333333,969.3666666666667,0.0,0.06578603990027271,shared,full,binary,t
cast19,inv,30,0.01,ai_calib,0.08666666666666667,0.0,1696.43,969.3666666666667,0.0,0.12089661757038177,shared,full,binary,t
cast19,inv,30,0.01,ai_resid,0.20333333333333334,0.0033333333333333335,1696.2466666666667,969.3666666666667,0.0,0.06405436542378745,shared,full,binary,t
cast19,inv,30,0.01,ai_robust_0.5,0.13333333333333333,0.0,1695.82,969.3666666666667,0.0,0.06444409313120891,shared,full,binary,t
cast19,inv,30,0.01,ai_robust_0.3,0.14333333333333334,0.0,1697.15,969.3666666666667,0.0,0.06319502177833701,shared,full,binary,t
cast19,inv,30,0.02,weighted_cv,0.25333333333333335,0.0,1708.6166666666666,975.4333333333333,0.0,0.06340248002634484,shared,full,binary,t
cast19,inv,30,0.02,ai_calib,0.14666666666666667,0.0033333333333333335,1705.6533333333334,975.4333333333333,0.0,0.11839528545020601,shared,full,binary,t
cast19,inv,30,0.02,ai_resid,0.23666666666666666,0.0,1705.82,975.4333333333333,0.0,0.0674399524900794,shared,full,binary,t
cast19,inv,30,0.02,ai_robust_0.5,0.22333333333333333,0.0,1706.93,975.4333333333333,0.0,0.062368322768920945,shared,full,binary,t
cast19,inv,30,0.02,ai_robust_0.3,0.25333333333333335,0.0,1704.36,975.4333333333333,0.0,0.06120313096460694,shared,full,binary,t
