collection,judge,pair,n0,n_queries,rho,true_gain,p_use_judge,cover_gain_lcb,med_T_ratio,med_T_human,med_T_ppi
trec-covid,rr,glob_probe_vs_trunc,20,50,0.7939369181714679,2.705158035998798,1.0,0.9,,,
trec-covid,rr,glob_probe_vs_trunc,30,50,0.7939369181714679,2.705158035998798,1.0,0.9433333333333334,,,
trec-covid,rr,glob_probe_vs_ad_probe,20,50,0.741268961577377,2.2196556757880295,0.61,0.9866666666666667,0.8635717831703931,13.14090093664413,11.001184113864657
trec-covid,rr,glob_probe_vs_ad_probe,30,50,0.741268961577377,2.2196556757880295,0.81,0.9966666666666667,0.8162998210183741,31.37944879762628,21.587001250115563
trec-covid,rr,trunc_vs_ad_probe,20,50,0.824365630238634,3.120891076927859,1.0,0.8533333333333334,,,
trec-covid,rr,trunc_vs_ad_probe,30,50,0.824365630238634,3.120891076927859,1.0,0.9366666666666666,,,
webis-touche2020,rr,glob_probe_vs_trunc,20,49,0.45797136913387154,1.2654027591058332,0.13333333333333333,0.95,1.523288979227132,156.18978965186164,242.17454044185538
webis-touche2020,rr,glob_probe_vs_trunc,30,49,0.45797136913387154,1.2654027591058332,0.09666666666666666,0.98,2.156988137957719,160.09737177440073,377.16491382000083
webis-touche2020,rr,glob_probe_vs_ad_probe,20,49,0.24074846116151988,1.0615258487669876,0.14333333333333334,0.8233333333333334,1.0889848950427439,28.904133662247883,34.473405809216516
webis-touche2020,rr,glob_probe_vs_ad_probe,30,49,0.24074846116151988,1.0615258487669876,0.043333333333333335,0.9133333333333333,1.0758751369234525,32.06533408915324,36.286469124265835
webis-touche2020,rr,trunc_vs_ad_probe,20,49,0.47552088929002145,1.2921901975621632,0.17333333333333334,0.9566666666666667,1.6037782934592868,108.90301772699138,164.99758982467662
webis-touche2020,rr,trunc_vs_ad_probe,30,49,0.47552088929002145,1.2921901975621632,0.14,0.97,1.9131352539203381,112.0792160493423,232.05826020829204
dbpedia-entity,rr,glob_probe_vs_trunc,20,399,0.5401680196450453,1.4119935939255819,0.45666666666666667,0.83,1.6152539608661733,621.4320607908583,992.779062316826
dbpedia-entity,rr,glob_probe_vs_trunc,30,399,0.5401680196450453,1.4119935939255819,0.5433333333333333,0.84,1.5025362013067625,641.9199876149607,1006.2944629329575
dbpedia-entity,rr,glob_probe_vs_ad_probe,20,399,0.4423778654750497,1.2433143503958375,0.31666666666666665,0.85,0.9864409891194432,191.6962715593762,189.01231280713233
dbpedia-entity,rr,glob_probe_vs_ad_probe,30,399,0.4423778654750497,1.2433143503958375,0.39,0.8366666666666667,0.9357661738924765,190.18162480807808,177.10519944219357
dbpedia-entity,rr,trunc_vs_ad_probe,20,399,0.5693726358097995,1.4796953213303445,0.5133333333333333,0.8033333333333333,1.1458337230003646,349.9253950488927,379.4718773804972
dbpedia-entity,rr,trunc_vs_ad_probe,30,399,0.5693726358097995,1.4796953213303445,0.5966666666666667,0.8,1.1347407893944403,369.2318415210992,427.94493402661374
