collection,judge,eps,quantity,point,lo,hi,mc_se,n_reached,boot
antique,inv,0.01,J50[active_cv],1484.4374554707379,1436.6588192663933,1533.0630013978493,25.372892091255213,1000,1000
antique,inv,0.01,J50[active_judge],1268.5383333333334,1188.1904893424037,1344.8978748031498,41.24138903777552,1000,1000
antique,inv,0.01,J50[strat_pilot],876.682987012987,859.2788086834734,892.2607282815904,8.592296448466264,1000,1000
antique,inv,0.01,J50[uniform],1575.6395029239766,1515.689893893697,1642.681097979798,31.810263328180312,1000,1000
antique,inv,0.01,J50[uniform_nz],1220.1705376344087,1181.6622992424245,1315.1492295418168,34.48652332312303,1000,1000
antique,inv,0.01,J50[weighted],850.5957333333333,822.8309821842715,874.3935226531943,13.97199276315678,1000,1000
antique,inv,0.01,J50[weighted_cv],941.7837810945273,913.942067674679,961.7109117707058,12.74358890533398,1000,1000
antique,inv,0.01,J50[weighted_cvl],870.4550228310502,851.0476756410256,887.2190994444445,9.391020221005977,1000,1000
antique,inv,0.01,saving uniform->uniform_nz,0.22560297874603297,0.1655181754446147,0.26288536472892005,0.025249494754367913,1000,1000
antique,inv,0.01,saving uniform_nz->weighted,0.30288782830110306,0.2704426269998841,0.3567276587335289,0.021810412404482817,1000,1000
antique,inv,0.01,saving uniform->weighted,0.4601584107564902,0.43506699343471,0.48921559765915573,0.01388908448239225,1000,1000
antique,inv,0.01,saving weighted->weighted_cvl,-0.02334750659974727,-0.06382930830944039,0.009426812801395464,0.018811726511881278,1000,1000
antique,inv,0.01,saving weighted->weighted_cv,-0.1072049202549421,-0.15281903464884594,-0.06475385947024503,0.023337509538580953,1000,1000
antique,llm,0.01,J50[active_cv],902.0344444444445,875.2443543096873,936.125696969697,15.050372710398012,1000,1000
antique,llm,0.01,J50[active_judge],1236.2576785714286,1159.2968146929825,1307.4726264675683,39.83645565750423,1000,1000
antique,llm,0.01,J50[strat_pilot],876.682987012987,859.6799689583333,892.5298708409647,8.634384008788446,1000,1000
antique,llm,0.01,J50[uniform],1575.6395029239766,1519.510193989071,1634.103896034946,28.72782945645302,1000,1000
antique,llm,0.01,J50[uniform_nz],1220.1705376344087,1178.6718381683133,1311.6362289448025,33.97349584040895,1000,1000
antique,llm,0.01,J50[weighted],850.5957333333333,821.934327027126,875.062324810606,14.292416864923172,1000,1000
antique,llm,0.01,J50[weighted_cv],791.1669230769231,779.0665371921183,806.6037742009133,6.839923539905602,1000,1000
antique,llm,0.01,J50[weighted_cvl],801.2495698924731,788.0989260893726,817.0740239361702,7.494375943835233,1000,1000
antique,llm,0.01,saving uniform->uniform_nz,0.22560297874603297,0.16577479329641234,0.26186931694588345,0.02457033673747081,1000,1000
antique,llm,0.01,saving uniform_nz->weighted,0.30288782830110306,0.27163986897490966,0.3530874107345125,0.02154441800364205,1000,1000
antique,llm,0.01,saving uniform->weighted,0.4601584107564902,0.43264676177128647,0.485376833870176,0.013549770495230751,1000,1000
antique,llm,0.01,saving weighted->weighted_cvl,0.05801365032420436,0.022780606889793054,0.08598101700552499,0.016362196248169918,1000,1000
antique,llm,0.01,saving weighted->weighted_cv,0.0698672799868385,0.035129878321106235,0.09695337808019018,0.016610844657740265,1000,1000
antique,rr,0.01,J50[active_cv],907.6483333333333,863.947791087963,948.2474957644212,22.229529783077624,1000,1000
antique,rr,0.01,J50[active_judge],1268.5380952380951,1192.6941950386213,1346.176510758849,41.44204507306156,1000,1000
antique,rr,0.01,J50[strat_pilot],876.682987012987,857.7713891025641,892.2712938852814,8.653875039445303,1000,1000
antique,rr,0.01,J50[uniform],1575.6395029239766,1522.5643220720722,1630.3446998203053,27.846021466033235,1000,1000
antique,rr,0.01,J50[uniform_nz],1220.1705376344087,1181.2497733954974,1298.668365536723,32.134169985745324,1000,1000
antique,rr,0.01,J50[weighted],850.5957333333333,821.1570071301247,875.377469047619,14.482974358837133,1000,1000
antique,rr,0.01,J50[weighted_cv],813.5066666666667,799.239147585372,834.0986859567901,9.071898133474605,1000,1000
antique,rr,0.01,J50[weighted_cvl],803.386329588015,788.9607668536487,819.4216170105956,7.879765875365867,1000,1000
antique,rr,0.01,saving uniform->uniform_nz,0.22560297874603297,0.16841983066358088,0.25954450334497375,0.023680304249700693,1000,1000
antique,rr,0.01,saving uniform_nz->weighted,0.30288782830110306,0.27195538279795783,0.35136378751697395,0.021311340848862652,1000,1000
antique,rr,0.01,saving uniform->weighted,0.4601584107564902,0.43531198574760527,0.4863549957910107,0.013300155992940816,1000,1000
antique,rr,0.01,saving weighted->weighted_cvl,0.055501576007574216,0.020887686853807323,0.08378875704202798,0.01673645884125436,1000,1000
antique,rr,0.01,saving weighted->weighted_cv,0.04360363591446814,0.005432596611580907,0.07280685184377546,0.01753232810331933,1000,1000
cast19,inv,0.01,J50[active_cv],3510.851965811966,3419.8358595238096,3614.7048819892475,51.0140573623392,1000,1000
cast19,inv,0.01,J50[active_judge],3457.154861111111,3372.868423351634,3540.9790242337776,41.36218954693768,1000,1000
cast19,inv,0.01,J50[strat_pilot],2736.5570588235296,2564.3006770833335,2918.6826333333333,87.33675501716304,1000,1000
cast19,inv,0.01,J50[uniform],,5603.0299124183,5741.834064102564,59.7594391262222,4,1000
cast19,inv,0.01,J50[uniform_nz],3485.0226754385963,3384.169866925466,3597.1084635209986,53.24444100309689,1000,1000
cast19,inv,0.01,J50[weighted],2775.3447368421052,2671.635289891819,2891.3796314535693,54.623890025470665,1000,1000
cast19,inv,0.01,J50[weighted_cv],2771.926875,2636.0680444444447,2902.31123776002,69.61781740002911,1000,1000
cast19,inv,0.01,J50[weighted_cvl],2632.90649122807,2450.293722222222,2775.6213975183828,80.48198465113875,1000,1000
cast19,inv,0.01,saving uniform->uniform_nz,,0.3706469591168706,0.4030325916005208,0.012368974668618502,4,1000
cast19,inv,0.01,saving uniform_nz->weighted,0.2036365340168631,0.16999014673744034,0.2412594202903013,0.018163080020821166,1000,1000
cast19,inv,0.01,saving uniform->weighted,,0.5054932818690703,0.5135935502240168,0.0031048960938246544,4,1000
cast19,inv,0.01,saving weighted->weighted_cvl,0.0513227217228901,0.009598521111519518,0.11691328920617315,0.02659681543893828,1000,1000
cast19,inv,0.01,saving weighted->weighted_cv,0.001231508935352732,-0.040549876647271665,0.04609137046561069,0.02219439746446166,1000,1000
cast19,llm,0.01,J50[active_cv],2717.6310628019323,2591.4850875,2838.5835772875816,62.32473647819546,1000,1000
cast19,llm,0.01,J50[active_judge],3097.6334920634918,2977.9588933887158,3222.664941598857,64.99088201188364,1000,1000
cast19,llm,0.01,J50[strat_pilot],2736.5570588235296,2530.7306333333336,2898.6780903679655,92.47279368912245,1000,1000
cast19,llm,0.01,J50[uniform],,5643.526064516129,5767.688,53.62471570137002,3,1000
cast19,llm,0.01,J50[uniform_nz],3485.0226754385963,3388.850057638889,3596.953602886978,55.50678637377369,1000,1000
cast19,llm,0.01,J50[weighted],2775.3447368421052,2666.8899087053574,2884.1849222334,55.97504490968552,1000,1000
cast19,llm,0.01,J50[weighted_cv],2355.4335135135134,2230.5097714646463,2520.9933473245974,74.35712869390503,1000,1000
cast19,llm,0.01,J50[weighted_cvl],2189.5311111111114,2024.373953837896,2368.802573809524,90.62969803219593,1000,1000
