collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,L_post_pred_v2_med,saving_pred_v2_med,frac_draws_recommend_v2,L_post_pred_v3_med,saving_pred_v3_med,frac_draws_recommend_v3,L_post_pred_v4_med,saving_pred_v4_med,frac_draws_recommend_v4,slack_xfit_med,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
antique,inv,0.02,active_cv,630.7218518518517,835.5223611111111,1261.2228395061727,0.24511673031336634,4.649094054944618,4.10311890901604,5.16829291739142,3.078610448454317,-0.8944540033539683,-0.5095021967203224,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.8252983678691862,0.0,180.99687168259592,-0.8233917960782806,0.0,161.45559358504477,-0.749449686144148,0.0,183.3766156493865,-0.7569086937694708,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,inv,0.02,active_judge,630.7218518518517,835.5223611111111,1135.8186243386242,0.24511673031336634,3.4539262032704867,3.1221995703678957,3.851867055822392,2.4662867016964523,-0.6014983673759549,-0.3594114020218049,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.567502033952215,0.0,180.99687168259592,-0.5671344608221862,0.0,161.45559358504477,-0.5207032381886985,0.0,183.3766156493865,-0.5280245654743865,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,inv,0.02,strat_pilot,630.7218518518517,835.5223611111111,823.2256272401434,0.24511673031336634,0.9998244642149249,0.9983062469242934,1.0007630816162663,0.9399575034483867,4.302675769060334e-05,0.014717420434583017,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,5.124625537848423e-05,0.0,180.99687168259592,4.7776639822524814e-05,0.0,161.45559358504477,4.690122871377953e-05,0.0,183.3766156493865,5.930583949635113e-05,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,inv,0.02,uniform,630.7218518518517,835.5223611111111,1404.5272508591067,0.24511673031336634,4.5264336739786515,3.092301418340487,5.943517636484889,3.778337279560598,-0.8643878918325987,-0.6810169496736271,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.7635299316804365,0.0,180.99687168259592,-0.7514453241528636,0.0,161.45559358504477,-0.7059958328861138,0.0,183.3766156493865,-0.7375631576211166,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,inv,0.02,uniform_nz,630.7218518518517,835.5223611111111,1107.2803225806451,0.24511673031336634,2.7567076254741334,1.7803558293801358,4.024965700715455,2.326939871646083,-0.4305984292727773,-0.32525516266032595,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.3891414143558022,0.0,180.99687168259592,-0.37937613667323555,0.0,161.45559358504477,-0.3587797127688947,0.0,183.3766156493865,-0.4193724842654085,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,inv,0.02,weighted_cv,630.7218518518517,835.5223611111111,877.9611111111111,0.24511673031336634,1.364268854327689,1.2567885744931915,1.497902557565563,1.2072199437076414,-0.08928839052779909,-0.05079307505733688,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.08059328331883625,0.0,180.99687168259592,-0.07845839074294804,0.0,161.45559358504477,-0.07308414790723927,0.0,183.3766156493865,-0.0753572212271972,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,inv,0.02,weighted_cvl,630.7218518518517,835.5223611111111,822.3333333333334,0.24511673031336634,1.0,1.0,1.0,0.9356006104404674,0.0,0.01578536780300943,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,0.0,0.0,180.99687168259592,0.0,0.0,161.45559358504477,0.0,0.0,183.3766156493865,0.0,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,llm,0.02,active_cv,630.7218518518517,835.5223611111111,868.6706140350877,0.24511673031336634,1.543531800676558,1.2425105117374966,1.8774429529661842,1.1618563012556473,-0.13322873780317424,-0.039673687344399466,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.12031478655906,0.016666666666666666,180.99687168259592,-0.12199532321756351,0.01,161.45559358504477,-0.10920802331316073,0.01,183.3766156493865,-0.1119371670277534,0.0033333333333333335,0.09633196760865775,0.01,0,0.09793501164727944,0.02
antique,llm,0.02,active_judge,630.7218518518517,835.5223611111111,1187.4076969696969,0.24511673031336634,3.628291661122005,3.0852816665759004,4.260486675886872,2.718185844026052,-0.6442382582841122,-0.42115609615837757,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.602311646300711,0.0,180.99687168259592,-0.5853058982761887,0.0,161.45559358504477,-0.535882320274403,0.0,183.3766156493865,-0.5484353145165184,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,llm,0.02,strat_pilot,630.7218518518517,835.5223611111111,823.2256272401434,0.24511673031336634,0.9998244642149249,0.9983062469242934,1.0007630816162663,0.9399575034483867,4.302675769060334e-05,0.014717420434583017,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,5.124625537848423e-05,0.0,180.99687168259592,4.7776639822524814e-05,0.0,161.45559358504477,4.690122871377953e-05,0.0,183.3766156493865,5.930583949635113e-05,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,llm,0.02,uniform,630.7218518518517,835.5223611111111,1404.5272508591067,0.24511673031336634,4.5264336739786515,3.092301418340487,5.943517636484889,3.778337279560598,-0.8643878918325987,-0.6810169496736271,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.7635299316804365,0.0,180.99687168259592,-0.7514453241528636,0.0,161.45559358504477,-0.7059958328861138,0.0,183.3766156493865,-0.7375631576211166,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,llm,0.02,uniform_nz,630.7218518518517,835.5223611111111,1107.2803225806451,0.24511673031336634,2.7567076254741334,1.7803558293801358,4.024965700715455,2.326939871646083,-0.4305984292727773,-0.32525516266032595,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,-0.3891414143558022,0.0,180.99687168259592,-0.37937613667323555,0.0,161.45559358504477,-0.3587797127688947,0.0,183.3766156493865,-0.4193724842654085,0.0,0.09633196760865775,0.0,0,0.09793501164727944,0.02
antique,llm,0.02,weighted_cv,630.7218518518517,835.5223611111111,760.5583018867925,0.24511673031336634,0.5389975400981931,0.4867259983164098,0.6090780637834552,0.6339654647566295,0.11299941563754967,0.0897211884606276,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,0.10353159669098788,0.8966666666666666,180.99687168259592,0.10055004416673688,0.9066666666666666,161.45559358504477,0.09293149805351278,0.88,183.3766156493865,0.09411304015504682,0.76,0.09633196760865775,0.9866666666666667,1,0.09793501164727944,0.02
antique,llm,0.02,weighted_cvl,630.7218518518517,835.5223611111111,770.0307590759076,0.24511673031336634,0.5886449537370209,0.5279208894372122,0.6724061174799095,0.680217582114032,0.10083000393788497,0.07838402068391104,204.80050925925934,186.4045042669124,123.02546980539266,330.33427371990575,0.22812077190797664,0.08881992219495052,0.81,180.99687168259592,0.08852088779943099,0.8066666666666666,161.45559358504477,0.08067081098605267,0.7733333333333333,183.3766156493865,0.0785170075902056,0.6633333333333333,0.09633196760865775,0.9333333333333333,1,0.09793501164727944,0.02
