eps,method,collection,judge,J50,flag,max_wrong,pilot,budgets
0.02,strat_pilot,dbpedia-entity,llm,2804.7589583333342,ok,0.0,1028.1196296296296,20 30 45 60 90 120 150
0.02,strat_pilot,dbpedia-entity,rr,2804.7589583333342,ok,0.0,1028.1196296296296,20 30 45 60 90 120 150
0.02,strat_pilot,dl212223,llm,1967.3147474747473,ok,0.0033333333333333,1387.5430303030303,5 10 15 20 30 45 60 90
0.02,ai_calib,antique,llm,842.0066666666667,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_calib,antique,rr,912.8089743589744,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_calib,antique,inv,1390.8685057471264,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_calib,cast19,llm,3352.254416666667,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_calib,cast19,rr,3504.281185185185,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_calib,cast19,inv,3745.590740740741,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_calib,dbpedia-entity,llm,2654.039777777778,ok,0.0,1028.354074074074,20 30 45 60 90 120 150
0.02,ai_calib,dbpedia-entity,rr,2764.846666666667,ok,0.0,1028.354074074074,20 30 45 60 90 120 150
0.02,ai_calib,dl212223,llm,2328.7896396396395,ok,0.0,1387.4048484848486,5 10 15 20 30 45 60 90
0.02,ai_resid,antique,llm,786.9139855072465,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_resid,antique,rr,824.93,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_resid,antique,inv,915.0408333333332,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_resid,cast19,llm,3337.7559259259265,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_resid,cast19,rr,3468.9777419354837,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_resid,cast19,inv,3517.530992907801,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_resid,dbpedia-entity,llm,2160.3748,ok,0.0,1028.354074074074,20 30 45 60 90 120 150
0.02,ai_resid,dbpedia-entity,rr,2474.169851851852,ok,0.0033333333333333,1028.354074074074,20 30 45 60 90 120 150
0.02,ai_resid,dl212223,llm,1952.927380952381,ok,0.0,1387.4048484848486,5 10 15 20 30 45 60 90
0.02,ai_robust_0.3,antique,llm,780.2212987012988,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_robust_0.3,antique,rr,815.1015611814346,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_robust_0.3,antique,inv,949.2134666666667,ok,0.0,631.6666666666667,5 10 15 20 30 60 90 120 150
0.02,ai_robust_0.3,cast19,llm,3306.213111111111,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_robust_0.3,cast19,rr,3323.73606060606,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_robust_0.3,cast19,inv,3460.2638418079096,ok,0.0,975.4713333333335,30 45 60 90 120 150 200
0.02,ai_robust_0.3,dbpedia-entity,llm,2125.130303030303,ok,0.0033333333333333,1028.354074074074,20 30 45 60 90 120 150
0.02,ai_robust_0.3,dbpedia-entity,rr,2390.9718181818184,ok,0.0,1028.354074074074,20 30 45 60 90 120 150
0.02,ai_robust_0.3,dl212223,llm,1943.2115873015873,ok,0.0,1387.4048484848486,5 10 15 20 30 45 60 90
0.02,weighted_cv,antique,llm,796.7604761904762,ok,0.0033333333333333,631.3432051282051,5 10 15 20 30 60 90 120 150
0.02,weighted_cv,antique,rr,821.8230538922155,ok,0.0033333333333333,631.3432051282051,5 10 15 20 30 60 90 120 150
0.02,weighted_cv,antique,inv,947.3704313725491,ok,0.0,631.3432051282051,5 10 15 20 30 60 90 120 150
0.02,weighted_cv,cast19,llm,3455.5750000000003,ok,0.0,975.3138333333333,30 45 60 90 120 150 200
0.02,weighted_cv,cast19,rr,3554.753333333333,ok,0.0,975.3138333333333,30 45 60 90 120 150 200
0.02,weighted_cv,cast19,inv,3701.8108620689654,ok,0.0,975.3138333333333,30 45 60 90 120 150 200
0.02,weighted_cv,dbpedia-entity,llm,2270.8718361581923,ok,0.0,1028.2368518518517,20 30 45 60 90 120 150
0.02,weighted_cv,dbpedia-entity,rr,2453.028798449612,ok,0.0,1028.2368518518517,20 30 45 60 90 120 150
0.02,weighted_cv,dl212223,llm,1976.1943333333334,ok,0.0033333333333333,1387.4739393939394,5 10 15 20 30 45 60 90
0.02,weighted_cvl,antique,llm,815.2192181069959,ok,0.0,631.0197435897437,5 10 15 20 30 60 90 120 150
0.02,weighted_cvl,antique,rr,811.6254978354979,ok,0.0,631.0197435897437,5 10 15 20 30 60 90 120 150
0.02,weighted_cvl,antique,inv,888.249292929293,ok,0.0,631.0197435897437,5 10 15 20 30 60 90 120 150
0.02,weighted_cvl,cast19,llm,3139.08,ok,0.0,975.1563333333334,30 45 60 90 120 150 200
0.02,weighted_cvl,cast19,rr,3708.5527272727277,ok,0.0,975.1563333333334,30 45 60 90 120 150 200
0.02,weighted_cvl,cast19,inv,3765.5,ok,0.0,975.1563333333334,30 45 60 90 120 150 200
0.02,weighted_cvl,dbpedia-entity,llm,2170.098623188406,ok,0.0,1028.1196296296296,20 30 45 60 90 120 150
0.02,weighted_cvl,dbpedia-entity,rr,2272.0971794871793,ok,0.0,1028.1196296296296,20 30 45 60 90 120 150
0.02,weighted_cvl,dl212223,llm,1882.5219540229882,ok,0.0,1387.5430303030303,5 10 15 20 30 45 60 90
