eps,method,collection,judge,J50,flag,max_wrong,pilot,budgets
0.02,uniform,antique,llm,1404.5272508591067,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,uniform,antique,rr,1404.5272508591067,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,uniform,antique,inv,1404.5272508591067,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,uniform,cast19,llm,4777.964230769231,ok,0.0033333333333333,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,uniform,cast19,rr,4777.964230769231,ok,0.0033333333333333,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,uniform,cast19,inv,4777.964230769231,ok,0.0033333333333333,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,uniform,dbpedia-entity,llm,5563.3983333333335,ok,0.0033333333333333,1028.3748484848484,5 10 15 20 30 45 60 90 120 150 200
0.02,uniform,dbpedia-entity,rr,5563.3983333333335,ok,0.0033333333333333,1028.3748484848484,5 10 15 20 30 45 60 90 120 150 200
0.02,uniform,dl212223,llm,4092.18827309237,ok,0.0033333333333333,1386.5225,5 10 15 20 30 45 60 90
0.02,weighted,antique,llm,835.5223611111111,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,weighted,antique,rr,835.5223611111111,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,weighted,antique,inv,835.5223611111111,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,weighted,cast19,llm,2127.2223129251697,ok,0.0,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,weighted,cast19,rr,2127.2223129251697,ok,0.0,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,weighted,cast19,inv,2127.2223129251697,ok,0.0,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,weighted,dbpedia-entity,llm,2542.8431481481484,ok,0.0,1028.3748484848484,5 10 15 20 30 45 60 90 120 150 200
0.02,weighted,dbpedia-entity,rr,2542.8431481481484,ok,0.0,1028.3748484848484,5 10 15 20 30 45 60 90 120 150 200
0.02,weighted,dl212223,llm,1783.3806741573032,ok,0.0,1386.5225,5 10 15 20 30 45 60 90
0.02,strat_pilot,antique,llm,823.2256272401434,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,strat_pilot,antique,rr,823.2256272401434,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,strat_pilot,antique,inv,823.2256272401434,ok,0.0,630.7218518518517,5 10 15 20 30 60 90 120 150
0.02,strat_pilot,cast19,llm,2075.6465384615385,ok,0.0,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,strat_pilot,cast19,rr,2075.6465384615385,ok,0.0,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,strat_pilot,cast19,inv,2075.6465384615385,ok,0.0,975.6159259259259,15 20 30 45 60 90 120 150 200
0.02,strat_pilot,dbpedia-entity,llm,2482.462222222222,ok,0.0033333333333333,1028.3748484848484,5 10 15 20 30 45 60 90 120 150 200
0.02,strat_pilot,dbpedia-entity,rr,2482.462222222222,ok,0.0033333333333333,1028.3748484848484,5 10 15 20 30 45 60 90 120 150 200
