eps,method,collection,judge,J50,flag,max_wrong,pilot,budgets
0.01,uniform,antique,llm,1575.6395029239766,ok,0.0033333333333333,631.4807407407408,5 10 15 20 30 60 90 120 150
0.01,uniform,antique,rr,1575.6395029239766,ok,0.0033333333333333,631.4807407407408,5 10 15 20 30 60 90 120 150
0.01,uniform,antique,inv,1575.6395029239766,ok,0.0033333333333333,631.4807407407408,5 10 15 20 30 60 90 120 150
0.01,uniform,cast19,llm,5682.903333333334,n.r. (0.42),0.0066666666666666,974.7662962962962,15 20 30 45 60 90 120 150 200
0.01,uniform,cast19,rr,5682.903333333334,n.r. (0.42),0.0066666666666666,974.7662962962962,15 20 30 45 60 90 120 150 200
0.01,uniform,cast19,inv,5682.903333333334,n.r. (0.42),0.0066666666666666,974.7662962962962,15 20 30 45 60 90 120 150 200
0.01,uniform,dbpedia-entity,llm,6879.483333333334,n.r. (0.38),0.0033333333333333,1028.650909090909,5 10 15 20 30 45 60 90 120 150 200
0.01,uniform,dbpedia-entity,rr,6879.483333333334,n.r. (0.38),0.0033333333333333,1028.650909090909,5 10 15 20 30 45 60 90 120 150 200
0.01,uniform,dl212223,llm,4578.612297297297,ok,0.0,1387.8487499999999,5 10 15 20 30 45 60 90
0.01,weighted,antique,llm,850.5957333333333,ok,0.0,631.4807407407408,5 10 15 20 30 60 90 120 150
0.01,weighted,antique,rr,850.5957333333333,ok,0.0,631.4807407407408,5 10 15 20 30 60 90 120 150
0.01,weighted,antique,inv,850.5957333333333,ok,0.0,631.4807407407408,5 10 15 20 30 60 90 120 150
0.01,weighted,cast19,llm,2775.3447368421052,ok,0.0133333333333333,974.7662962962962,15 20 30 45 60 90 120 150 200
0.01,weighted,cast19,rr,2775.3447368421052,ok,0.0133333333333333,974.7662962962962,15 20 30 45 60 90 120 150 200
0.01,weighted,cast19,inv,2775.3447368421052,ok,0.0133333333333333,974.7662962962962,15 20 30 45 60 90 120 150 200
0.01,weighted,dbpedia-entity,llm,3580.780196078431,ok,0.0033333333333333,1028.650909090909,5 10 15 20 30 45 60 90 120 150 200
