collection,eps,method,pilot,J50_ref,J50,budget_ref,obj_ratio,cost_ratio,feasible,act_max_ref
antique,0.01,oracle_exact,634.8399999999996,1067.2147474747476,1051.9748717948717,15,0.6437770146485887,0.9647530856765265,0.8566666666666669,0.8533333333333334
antique,0.01,plugin_exact,634.8399999999996,1067.2147474747476,1074.8681904761904,15,3.259232840684499,1.0177009481847452,0.8566666666666669,0.8533333333333334
antique,0.01,static_sum_v,634.8399999999996,1067.2147474747476,1080.76688172043,15,1.0110729635559697,1.0313434915541038,0.8566666666666669,0.8533333333333334
antique,0.01,adaptive,634.8399999999996,1067.2147474747476,1106.3141025641025,15,0.9583540439970116,1.0904293215959344,0.8566666666666669,0.8533333333333334
antique,0.01,per_pair,634.8399999999996,1067.2147474747476,2231.7241666666664,15,,3.6932873068863246,0.8566666666666669,0.8533333333333334
antique,0.02,adaptive,633.6133333333335,1014.8333333333334,1017.0224242424243,5,0.9498350104203438,1.0057423296497847,0.8500000000000001,0.8333333333333334
antique,0.02,per_pair,633.6133333333335,1014.8333333333334,1784.451111111111,5,,3.0188284396877862,0.8500000000000001,0.8333333333333334
cast19,0.01,oracle_exact,974.6466666666666,4349.255761904762,3629.199369369369,120,0.07604743820703232,0.7866252439278186,0.8533333333333333,0.83
cast19,0.01,plugin_exact,974.6466666666666,4349.255761904762,3802.410185185184,120,0.3326848986880908,0.8379529120895126,0.8533333333333333,0.83
cast19,0.01,static_sum_v,974.6466666666666,4349.255761904762,4377.867948717948,120,0.9063908335209544,1.0084786670117023,0.8533333333333333,0.83
cast19,0.01,adaptive,974.6466666666666,4349.255761904762,4182.115833333333,120,0.9196789825940248,0.9504713216095815,0.8533333333333333,0.83
cast19,0.02,oracle_exact,975.8566666666667,3180.989957805907,2749.209435028248,60,0.46117493815264854,0.8041930052425141,0.9166666666666666,0.9133333333333332
cast19,0.02,plugin_exact,975.8566666666667,3180.989957805907,2799.3886666666667,60,3.9359191539643055,0.8269486508264118,0.9166666666666666,0.9133333333333332
cast19,0.02,static_sum_v,975.8566666666667,3180.989957805907,3059.796208333333,60,0.9248706593941236,0.945040170605759,0.9166666666666666,0.9133333333333332
cast19,0.02,adaptive,975.8566666666667,3180.989957805907,2945.794880952381,60,0.9376197345697684,0.8933420134743796,0.9166666666666666,0.9133333333333332
dbpedia-entity,0.01,oracle_exact,1029.106666666666,2364.8188888888894,2348.999074074074,30,0.6562947133304795,0.9881562700770261,0.8400000000000003,0.7
dbpedia-entity,0.01,plugin_exact,1029.106666666666,2364.8188888888894,2655.1521212121215,30,14.179426555623003,1.2173621140040216,0.8400000000000003,0.7
dbpedia-entity,0.01,static_sum_v,1029.106666666666,2364.8188888888894,2410.1966666666667,30,0.9907276500599114,1.0339727203381297,0.8400000000000003,0.7
dbpedia-entity,0.01,adaptive,1029.106666666666,2364.8188888888894,2427.368205128205,30,0.9740184535633016,1.0468284374423498,0.8400000000000003,0.7
dbpedia-entity,0.02,oracle_exact,1031.4566666666665,2186.4544444444446,2183.0693103448275,30,0.6451642389074836,0.9970691423267237,0.9166666666666665,0.7833333333333333
dbpedia-entity,0.02,plugin_exact,1031.4566666666665,2186.4544444444446,2465.2947435897436,30,2.164060352730754,1.2414206369139422,0.9166666666666665,0.7833333333333333
dbpedia-entity,0.02,static_sum_v,1031.4566666666665,2186.4544444444446,2254.992666666667,30,0.9918817305910286,1.059340566311816,0.9166666666666665,0.7833333333333333
dbpedia-entity,0.02,adaptive,1031.4566666666665,2186.4544444444446,2236.7848648648646,30,0.9569121696384192,1.0435762054168243,0.9166666666666665,0.7833333333333333
dbpedia-entity,0.02,per_pair,1031.4566666666665,2186.4544444444446,5308.297142857143,30,,3.702899311563301,0.9166666666666665,0.7833333333333333
dl212223,0.01,oracle_exact,1386.5,2283.8069105691056,2156.8753846153845,15,0.46231314452110456,0.8585416823846632,0.8733333333333332,0.87
dl212223,0.01,plugin_exact,1386.5,2283.8069105691056,2219.2766666666666,15,2.4438833809745697,0.9280845347981199,0.8733333333333332,0.87
dl212223,0.01,static_sum_v,1386.5,2283.8069105691056,2245.6208860759493,15,0.922172790749616,0.9574437418865556,0.8733333333333332,0.87
dl212223,0.01,adaptive,1386.5,2283.8069105691056,2245.280416666667,15,0.9427339493707041,0.9570643071521607,0.8733333333333332,0.87
dl212223,0.01,per_pair,1386.5,2283.8069105691056,4229.482403100776,15,,3.168350059064685,0.8733333333333332,0.87
dl212223,0.02,oracle_exact,1385.6533333333334,2102.2678666666666,1953.2513461538463,10,0.47008162870932996,0.7920548445763864,0.87,0.8533333333333334
dl212223,0.02,plugin_exact,1385.6533333333334,2102.2678666666666,2050.6133333333332,10,6.1930387331085806,0.9279186634785898,0.87,0.8533333333333334
dl212223,0.02,static_sum_v,1385.6533333333334,2102.2678666666666,2083.9399999999996,10,0.9189476426188555,0.9744243720799034,0.87,0.8533333333333334
dl212223,0.02,adaptive,1385.6533333333334,2102.2678666666666,2035.9026666666666,10,0.9547310136104415,0.9073906585576738,0.87,0.8533333333333334
dl212223,0.02,per_pair,1385.6533333333334,2102.2678666666666,3234.065053763441,10,,2.5793667787230308,0.87,0.8533333333333334
