collection,eps,n_train,fixed_cand,method,feasible_frac,slack_med,slack_q25,act_feasible_max,act_max,wrong_max,docs_pilot,J50_total,J50_sampling,budgets
antique,0.01,80,pilot,plugin_exact,0.9933333333333331,0.01,0.01,1.0,0.9933333333333332,0.0033333333333333,2529.8566666666666,2770.2233333333334,240.3666666666668,9
antique,0.01,10,pilot,static_sum,0.7333333333333333,0.01,0.01,0.9818181818181818,0.7233333333333334,0.0033333333333333,315.14666666666665,988.5695833333332,673.4229166666667,9
antique,0.01,20,pilot,static_sum,0.8566666666666667,0.01,0.01,0.9961089494163424,0.8533333333333334,0.0,634.84,1067.2147474747476,432.3747474747475,9
antique,0.01,40,pilot,static_sum,0.9200000000000002,0.01,0.01,0.9963768115942028,0.9166666666666666,0.0,1268.49,1588.0466666666666,319.5566666666666,9
antique,0.01,80,pilot,static_sum,0.9933333333333331,0.01,0.01,1.0,0.9933333333333332,0.0,2529.8566666666666,2769.116666666667,239.26000000000025,9
antique,0.02,20,best,oracle_exact,1.0,0.02,0.02,1.0,1.0,0.0,630.2466666666667,990.69,360.4433333333334,9
antique,0.02,20,best,per_pair,1.0,0.02,0.02,0.7833333333333333,0.7833333333333333,0.0,630.2466666666667,1657.0317602996254,1026.7850936329587,9
antique,0.02,20,best,plugin_exact,1.0,0.02,0.02,0.9966666666666668,0.9966666666666668,0.0,630.2466666666667,990.0166666666668,359.77,9
antique,0.02,20,best,static_sum,1.0,0.02,0.02,1.0,1.0,0.0,630.2466666666667,989.8433333333334,359.5966666666667,9
antique,0.02,10,pilot,oracle_exact,0.73,0.02,0.02,0.9954337899543378,0.7266666666666667,0.0,315.2133333333333,849.403076923077,534.1897435897438,9
antique,0.02,20,pilot,oracle_exact,0.85,0.02,0.02,1.0,0.85,0.0,633.6133333333333,993.6666666666666,360.0533333333333,9
antique,0.02,40,pilot,oracle_exact,0.9333333333333331,0.02,0.02,1.0,0.9333333333333332,0.0033333333333333,1265.18,1583.9,318.72,9
antique,0.02,80,pilot,oracle_exact,0.9866666666666668,0.02,0.02,1.0,0.9866666666666668,0.0,2529.07,2770.293333333333,241.22333333333336,9
antique,0.02,10,pilot,per_pair,0.73,0.02,0.02,0.7168949771689498,0.5233333333333333,0.0,315.2133333333333,2268.5866666666666,1953.3733333333328,9
antique,0.02,20,pilot,per_pair,0.85,0.02,0.02,0.807843137254902,0.6866666666666666,0.0,633.6133333333333,1784.451111111111,1150.8377777777778,9
antique,0.02,40,pilot,per_pair,0.9333333333333331,0.02,0.02,0.8857142857142857,0.8266666666666667,0.0,1265.18,2048.9801568627454,783.8001568627452,9
antique,0.02,80,pilot,per_pair,0.9866666666666668,0.02,0.02,0.9797297297297296,0.9666666666666668,0.0,2529.07,2899.6894444444447,370.6194444444444,9
antique,0.02,10,pilot,plugin_exact,0.73,0.02,0.02,0.9863013698630136,0.72,0.0,315.2133333333333,834.7746666666667,519.5613333333333,9
antique,0.02,20,pilot,plugin_exact,0.85,0.02,0.02,1.0,0.85,0.0,633.6133333333333,994.0966666666668,360.48333333333335,9
antique,0.02,40,pilot,plugin_exact,0.9333333333333331,0.02,0.02,1.0,0.9333333333333332,0.0,1265.18,1585.94,320.76,9
antique,0.02,80,pilot,plugin_exact,0.9866666666666668,0.02,0.02,1.0,0.9866666666666668,0.0,2529.07,2769.3966666666665,240.3266666666664,9
antique,0.02,10,pilot,static_sum,0.73,0.02,0.02,0.958904109589041,0.7,0.0,315.2133333333333,889.5455555555556,574.3322222222222,9
antique,0.02,20,pilot,static_sum,0.85,0.02,0.02,0.9803921568627452,0.8333333333333334,0.0,633.6133333333333,1014.8333333333334,381.21999999999997,9
antique,0.02,40,pilot,static_sum,0.9333333333333331,0.02,0.02,1.0,0.9333333333333332,0.0,1265.18,1585.06,319.8799999999999,9
antique,0.02,80,pilot,static_sum,0.9866666666666668,0.02,0.02,1.0,0.9866666666666668,0.0,2529.07,2769.063333333333,239.9933333333333,9
antique,0.03,10,pilot,oracle_exact,0.7933333333333333,0.030000000000000002,0.030000000000000002,0.9957983193277312,0.79,0.0,315.14666666666665,696.3466666666667,381.2000000000001,9
antique,0.03,20,pilot,oracle_exact,0.8733333333333333,0.030000000000000002,0.030000000000000002,1.0,0.8733333333333333,0.0,630.68,991.7333333333332,361.0533333333334,9
antique,0.03,40,pilot,oracle_exact,0.9600000000000001,0.030000000000000002,0.030000000000000002,1.0,0.96,0.0,1268.49,1588.34,319.8499999999999,9
antique,0.03,80,pilot,oracle_exact,1.0,0.030000000000000002,0.030000000000000002,1.0,1.0,0.0,2529.8566666666666,2769.153333333333,239.29666666666665,9
antique,0.03,10,pilot,per_pair,0.7933333333333333,0.030000000000000002,0.030000000000000002,0.7521008403361344,0.5966666666666667,0.0,315.14666666666665,1572.4555974842765,1257.3089308176097,9
antique,0.03,20,pilot,per_pair,0.8733333333333333,0.030000000000000002,0.030000000000000002,0.8320610687022901,0.7266666666666667,0.0,630.68,1682.6337552742616,1051.9537552742618,9
antique,0.03,40,pilot,per_pair,0.9600000000000001,0.030000000000000002,0.030000000000000002,0.8888888888888888,0.8533333333333334,0.0,1268.49,1804.7365333333332,536.2465333333333,9
antique,0.03,80,pilot,per_pair,1.0,0.030000000000000002,0.030000000000000002,0.99,0.99,0.0,2529.8566666666666,2844.5156097560975,314.65894308943115,9
antique,0.03,10,pilot,plugin_exact,0.7933333333333333,0.030000000000000002,0.030000000000000002,0.9915966386554622,0.7866666666666666,0.0,315.14666666666665,753.489365079365,438.3426984126984,9
