collection,N,arm,act,mean_T,wrong,T_max,frac_max,act_by_50pct,act_by_75pct,act_by_90pct,act_by_100pct
antique,200,split_t,0.6533333333333333,148.24666666666667,0.0033333333333333335,199,0.995,0.22,0.5766666666666667,0.6066666666666667,0.6533333333333333
antique,200,split_fp_t,1.0,110.06333333333333,0.006666666666666667,199,0.995,0.5766666666666667,0.7933333333333333,0.8566666666666667,1.0
antique,200,split_fp_ppi_t,1.0,103.20333333333333,0.006666666666666667,199,0.995,0.61,0.87,0.9033333333333333,1.0
antique,200,split_fp_bet_wor,0.8833333333333333,197.5,0.0,199,0.995,0.0,0.016666666666666666,0.03333333333333333,0.8833333333333333
antique,200,split_fp_ppi_bet_wor,0.7133333333333334,198.72666666666666,0.0,199,0.995,0.0,0.0,0.006666666666666667,0.7133333333333334
cast19,159,split_t,0.7666666666666667,121.46666666666667,0.0,158,0.9937106918238994,0.13666666666666666,0.31,0.5966666666666667,0.7666666666666667
cast19,159,split_fp_t,0.9966666666666667,88.22666666666667,0.0,158,0.9937106918238994,0.51,0.7566666666666667,0.8633333333333333,0.9966666666666667
cast19,159,split_fp_ppi_t,0.9966666666666667,79.31333333333333,0.0,158,0.9937106918238994,0.6433333333333333,0.8133333333333334,0.8966666666666666,0.9966666666666667
cast19,159,split_fp_bet_wor,0.91,151.83333333333334,0.0,158,0.9937106918238994,0.0,0.0,0.05,0.91
cast19,159,split_fp_ppi_bet_wor,0.7333333333333333,156.52,0.0,158,0.9937106918238994,0.0,0.0,0.006666666666666667,0.7333333333333333
dbpedia-entity,399,split_t,0.94,142.24,0.0,398,0.9974937343358395,0.92,0.9366666666666666,0.9366666666666666,0.94
dbpedia-entity,399,split_fp_t,1.0,113.16,0.0,398,0.9974937343358395,0.94,0.9666666666666667,0.9966666666666667,1.0
dbpedia-entity,399,split_fp_ppi_t,1.0,95.62,0.0,350,0.8771929824561403,0.95,0.9733333333333334,1.0,1.0
dbpedia-entity,399,split_fp_bet_wor,1.0,217.78666666666666,0.0,398,0.9974937343358395,0.63,0.9033333333333333,0.9466666666666667,1.0
dbpedia-entity,399,split_fp_ppi_bet_wor,1.0,271.7,0.0,398,0.9974937343358395,0.10333333333333333,0.56,0.9366666666666666,1.0
dl212223,211,split_t,0.9933333333333333,92.10333333333334,0.0,210,0.995260663507109,0.66,0.9833333333333333,0.9833333333333333,0.9933333333333333
dl212223,211,split_fp_t,1.0,70.8,0.0033333333333333335,120,0.5687203791469194,0.9333333333333333,1.0,1.0,1.0
dl212223,211,split_fp_ppi_t,1.0,68.06666666666666,0.0,150,0.7109004739336493,0.94,1.0,1.0,1.0
dl212223,211,split_fp_bet_wor,1.0,160.71333333333334,0.0,210,0.995260663507109,0.0,0.7333333333333333,0.7333333333333333,1.0
dl212223,211,split_fp_ppi_bet_wor,0.9966666666666667,177.31,0.0,210,0.995260663507109,0.0,0.47,0.47,0.9966666666666667
