eps,method,collection,judge,J50,flag,max_wrong,pilot,budgets
0.01,uniform,antique,llm,1934.3644303797469,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,uniform,antique,rr,1934.3644303797469,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,uniform,antique,inv,1934.3644303797469,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,uniform,cast19,llm,5671.293333333333,n.r. (0.18),0.0033333333333333,974.6026666666667,30 45 60 90 120 150 200
0.01,uniform,cast19,rr,5671.293333333333,n.r. (0.18),0.0033333333333333,974.6026666666667,30 45 60 90 120 150 200
0.01,uniform,cast19,inv,5671.293333333333,n.r. (0.18),0.0033333333333333,974.6026666666667,30 45 60 90 120 150 200
0.01,uniform,dbpedia-entity,llm,5403.093333333333,n.r. (0.22),0.0,1029.8437037037038,20 30 45 60 90 120 150
0.01,uniform,dbpedia-entity,rr,5403.093333333333,n.r. (0.22),0.0,1029.8437037037038,20 30 45 60 90 120 150
0.01,uniform,dl212223,llm,5041.36,n.r. (0.41),0.0066666666666666,1387.768181818182,5 10 15 20 30 45 60 90
0.01,weighted,antique,llm,934.7866666666667,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,weighted,antique,rr,934.7866666666667,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,weighted,antique,inv,934.7866666666667,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,weighted,cast19,llm,4218.086666666667,n.r. (0.29),0.0,974.6026666666667,30 45 60 90 120 150 200
0.01,weighted,cast19,rr,4218.086666666667,n.r. (0.29),0.0,974.6026666666667,30 45 60 90 120 150 200
0.01,weighted,cast19,inv,4218.086666666667,n.r. (0.29),0.0,974.6026666666667,30 45 60 90 120 150 200
0.01,weighted,dbpedia-entity,llm,5398.293333333333,n.r. (0.45),0.0033333333333333,1029.8437037037038,20 30 45 60 90 120 150
0.01,weighted,dbpedia-entity,rr,5398.293333333333,n.r. (0.45),0.0033333333333333,1029.8437037037038,20 30 45 60 90 120 150
0.01,weighted,dl212223,llm,2389.9839215686275,ok,0.0,1387.768181818182,5 10 15 20 30 45 60 90
0.01,strat_pilot,antique,llm,920.3168750000001,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,strat_pilot,antique,rr,920.3168750000001,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,strat_pilot,antique,inv,920.3168750000001,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,strat_pilot,cast19,llm,4218.073333333334,n.r. (0.29),0.0033333333333333,974.6026666666667,30 45 60 90 120 150 200
0.01,strat_pilot,cast19,rr,4218.073333333334,n.r. (0.29),0.0033333333333333,974.6026666666667,30 45 60 90 120 150 200
0.01,strat_pilot,cast19,inv,4218.073333333334,n.r. (0.29),0.0033333333333333,974.6026666666667,30 45 60 90 120 150 200
0.01,strat_pilot,dbpedia-entity,llm,5397.4766666666665,n.r. (0.48),0.0033333333333333,1029.8437037037038,20 30 45 60 90 120 150
0.01,strat_pilot,dbpedia-entity,rr,5397.4766666666665,n.r. (0.48),0.0033333333333333,1029.8437037037038,20 30 45 60 90 120 150
0.01,strat_pilot,dl212223,llm,2200.1627777777776,ok,0.0,1387.768181818182,5 10 15 20 30 45 60 90
0.01,ai_calib,antique,llm,892.8048717948719,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_calib,antique,rr,972.7650314465409,ok,0.0033333333333333,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_calib,antique,inv,1520.7120973782771,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_calib,cast19,llm,4307.58,n.r. (0.24),0.0,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_calib,cast19,rr,4304.15,n.r. (0.24),0.0,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_calib,cast19,inv,4304.15,n.r. (0.24),0.0033333333333333,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_calib,dbpedia-entity,llm,5420.443333333334,n.r. (0.46),0.0033333333333333,1027.9696296296295,20 30 45 60 90 120 150
0.01,ai_calib,dbpedia-entity,rr,5418.376666666667,n.r. (0.42),0.0,1027.9696296296295,20 30 45 60 90 120 150
0.01,ai_calib,dl212223,llm,2726.915804597701,ok,0.0,1388.7845454545457,5 10 15 20 30 45 60 90
0.01,ai_resid,antique,llm,815.936815920398,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_resid,antique,rr,863.2705952380953,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_resid,antique,inv,999.3611428571429,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_resid,cast19,llm,4307.13,n.r. (0.24),0.0,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_resid,cast19,rr,4301.07,n.r. (0.23),0.0,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_resid,cast19,inv,4305.356666666667,n.r. (0.24),0.0033333333333333,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_resid,dbpedia-entity,llm,5421.54,n.r. (0.45),0.0033333333333333,1027.9696296296295,20 30 45 60 90 120 150
0.01,ai_resid,dbpedia-entity,rr,5421.016666666666,n.r. (0.47),0.0033333333333333,1027.9696296296295,20 30 45 60 90 120 150
0.01,ai_resid,dl212223,llm,2296.3464285714285,ok,0.0,1388.7845454545457,5 10 15 20 30 45 60 90
0.01,ai_robust_0.3,antique,llm,825.4283111111112,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_robust_0.3,antique,rr,886.7749122807018,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_robust_0.3,antique,inv,1004.9882191780822,ok,0.0,631.8046153846153,5 10 15 20 30 60 90 120 150
0.01,ai_robust_0.3,cast19,llm,4307.806666666666,n.r. (0.24),0.0,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_robust_0.3,cast19,rr,4303.336666666667,n.r. (0.24),0.0,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_robust_0.3,cast19,inv,4306.693333333334,n.r. (0.24),0.0033333333333333,973.8476666666668,30 45 60 90 120 150 200
0.01,ai_robust_0.3,dbpedia-entity,llm,5418.943333333334,n.r. (0.45),0.0,1027.9696296296295,20 30 45 60 90 120 150
0.01,ai_robust_0.3,dbpedia-entity,rr,5417.2266666666665,n.r. (0.45),0.0,1027.9696296296295,20 30 45 60 90 120 150
0.01,ai_robust_0.3,dl212223,llm,2210.1766666666667,ok,0.0,1388.7845454545457,5 10 15 20 30 45 60 90
0.01,weighted_cv,antique,llm,822.1998352713179,ok,0.0,631.5942307692308,5 10 15 20 30 60 90 120 150
0.01,weighted_cv,antique,rr,869.2340579710144,ok,0.0,631.5942307692308,5 10 15 20 30 60 90 120 150
0.01,weighted_cv,antique,inv,1005.9953636363637,ok,0.0,631.5942307692308,5 10 15 20 30 60 90 120 150
0.01,weighted_cv,cast19,llm,4263.195,n.r. (0.26),0.0,974.2251666666668,30 45 60 90 120 150 200
0.01,weighted_cv,cast19,rr,4263.195,n.r. (0.26),0.0,974.2251666666668,30 45 60 90 120 150 200
0.01,weighted_cv,cast19,inv,4263.195,n.r. (0.27),0.0033333333333333,974.2251666666668,30 45 60 90 120 150 200
0.01,weighted_cv,dbpedia-entity,llm,5409.450000000001,n.r. (0.47),0.0,1028.9066666666668,20 30 45 60 90 120 150
0.01,weighted_cv,dbpedia-entity,rr,5409.450000000001,n.r. (0.47),0.0,1028.9066666666668,20 30 45 60 90 120 150
0.01,weighted_cv,dl212223,llm,2346.3165765765766,ok,0.0,1388.2763636363636,5 10 15 20 30 45 60 90
0.01,weighted_cvl,antique,llm,855.7627160493827,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,weighted_cvl,antique,rr,858.9227450980392,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,weighted_cvl,antique,inv,938.991382113821,ok,0.0,631.3838461538461,5 10 15 20 30 60 90 120 150
0.01,weighted_cvl,cast19,llm,4218.006666666667,n.r. (0.29),0.0,974.6026666666667,30 45 60 90 120 150 200
0.01,weighted_cvl,cast19,rr,4218.006666666667,n.r. (0.28),0.0,974.6026666666667,30 45 60 90 120 150 200
0.01,weighted_cvl,cast19,inv,4218.006666666667,n.r. (0.29),0.0,974.6026666666667,30 45 60 90 120 150 200
0.01,weighted_cvl,dbpedia-entity,llm,5392.94,n.r. (0.49),0.0,1029.8437037037038,20 30 45 60 90 120 150
0.01,weighted_cvl,dbpedia-entity,rr,5392.94,n.r. (0.48),0.0033333333333333,1029.8437037037038,20 30 45 60 90 120 150
0.01,weighted_cvl,dl212223,llm,2117.700476190476,ok,0.0,1387.768181818182,5 10 15 20 30 45 60 90
