collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
antique,inv,0.01,active_cv,631.4807407407407,850.5957333333333,1484.4374554707379,0.25760180072138383,4.651270774140533,4.24528376956207,5.186752452449841,3.8927355204576357,-0.9405739263399626,-0.7451738790805964,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-1.0790654595537137,0.0,0.0,0,0.08339555482824254,0.01
antique,inv,0.01,active_judge,631.4807407407407,850.5957333333333,1268.5383333333334,0.25760180072138383,3.4499455849453513,3.0713600743830636,3.8849251005883048,2.907412154024046,-0.6311103943513265,-0.49135280559444783,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-0.7015439465000832,0.0,0.0,0,0.08339555482824254,0.01
antique,inv,0.01,strat_pilot,631.4807407407407,850.5957333333333,876.682987012987,0.25760180072138383,0.9996781973507968,0.9977131237676707,1.000532797066569,1.1190573651350209,8.289694191166355e-05,-0.030669391647924593,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,9.94916637112079e-05,0.0,0.0,0,0.08339555482824254,0.01
antique,inv,0.01,uniform,631.4807407407407,850.5957333333333,1575.6395029239766,0.25760180072138383,4.755421710992307,3.3182214328561135,6.34455753178435,4.308964671982714,-0.9674033952197985,-0.8523952580261904,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-1.0994295734719803,0.0,0.0,0,0.08339555482824254,0.01
antique,inv,0.01,uniform_nz,631.4807407407407,850.5957333333333,1220.1705376344087,0.25760180072138383,3.165814553201841,1.8658782934892082,4.1316177934981315,2.686670546493536,-0.5579177289333734,-0.4344893700004553,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-0.5632053043487073,0.0,0.0,0,0.08339555482824254,0.01
antique,inv,0.01,weighted_cv,631.4807407407407,850.5957333333333,941.7837810945273,0.25760180072138383,1.3828860138251695,1.2684786850548566,1.5043708802578357,1.4161652595390528,-0.09863212663239637,-0.1072049202549421,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-0.10602182217332526,0.0033333333333333335,0.0,0,0.08339555482824254,0.01
antique,inv,0.01,weighted_cvl,631.4807407407407,850.5957333333333,870.4550228310502,0.25760180072138383,1.0,1.0,1.0,1.0906340970224793,0.0,-0.02334750659974727,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,0.0,0.0,0.0,0,0.08339555482824254,0.01
antique,llm,0.01,active_cv,631.4807407407407,850.5957333333333,902.0344444444445,0.25760180072138383,1.5528837163221507,1.2288166091233514,1.9158904679853368,1.2347566932891387,-0.14242384091411678,-0.060473746922679705,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-0.14514179740888256,0.02666666666666667,0.013333333333333334,0,0.08339555482824254,0.01
antique,llm,0.01,active_judge,631.4807407407407,850.5957333333333,1236.2576785714286,0.25760180072138383,3.595027978119496,2.9555972178453236,4.327539974471736,2.7600892603235443,-0.668483880085954,-0.4534021628897136,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,-0.7530172523011971,0.0,0.0,0,0.08339555482824254,0.01
antique,llm,0.01,strat_pilot,631.4807407407407,850.5957333333333,876.682987012987,0.25760180072138383,0.9996781973507968,0.9977131237676707,1.000532797066569,1.1190573651350209,8.289694191166355e-05,-0.030669391647924593,219.11499259259267,270.53562712064775,155.85124715565303,520.7371181925336,0.2999228421582634,9.94916637112079e-05,0.0,0.0,0,0.08339555482824254,0.01
