collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
trec-covid,rr,5,0.01,uniform,0,1645,0.9629970637344716,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,uniform_nz,0,1645,0.5397851598742885,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,weighted,0,1645,0.28564178886436736,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,active_judge,0,1645,0.660067875207042,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,strat_pilot,0,1645,0.28601962351070725,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,weighted_cv,0,1645,0.10506768270054448,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,active_cv,0,1645,0.14545900006091045,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,weighted_cvl,0,1645,0.19026442381847214,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,5,0.01,uniform,1,1631,0.888280108975658,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,uniform_nz,1,1631,0.5074602455210486,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,weighted,1,1631,0.29688494217784295,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,active_judge,1,1631,0.7362784572053841,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,strat_pilot,1,1631,0.2978956272939512,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,weighted_cv,1,1631,0.11180271073944707,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,active_cv,1,1631,0.1376258831162293,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,weighted_cvl,1,1631,0.13233540695144522,0.29688494217784295,0.0736435177705809,50,1
trec-covid,rr,5,0.01,uniform,2,1621,2.9302106065724542,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,uniform_nz,2,1621,1.454631571531297,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,weighted,2,1621,0.3022569956825432,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,active_judge,2,1621,0.6559073602450181,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,strat_pilot,2,1621,0.3315803766233863,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,weighted_cv,2,1621,0.13040287473886425,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,active_cv,2,1621,0.14988264866089446,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,weighted_cvl,2,1621,0.3022569956825432,0.3022569956825432,0.11629793942503522,50,1
trec-covid,rr,5,0.01,uniform,3,1659,1.790265275795925,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,uniform_nz,3,1659,0.8857698066124888,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,weighted,3,1659,0.30114150193428696,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,active_judge,3,1659,0.6733963915175474,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,strat_pilot,3,1659,0.30484946536070934,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,weighted_cv,3,1659,0.1082425818488727,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,active_cv,3,1659,0.12947259037983602,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,weighted_cvl,3,1659,0.15004743423123804,0.30114150193428696,0.09311748793847657,50,1
trec-covid,rr,5,0.01,uniform,4,1633,1.7051551646356249,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,uniform_nz,4,1633,0.9082953936794611,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,weighted,4,1633,0.34373571291705246,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,active_judge,4,1633,0.7133205138989294,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,strat_pilot,4,1633,0.3467604399472714,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,weighted_cv,4,1633,0.1087951668952624,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,active_cv,4,1633,0.14647192839712947,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,weighted_cvl,4,1633,0.34373571291705246,0.34373571291705246,0.08992139269453281,50,1
trec-covid,rr,5,0.01,uniform,5,1664,2.799578622107753,0.330998935239954,0.11169155101344702,50,1
trec-covid,rr,5,0.01,uniform_nz,5,1664,1.3756885038862974,0.330998935239954,0.11169155101344702,50,1
trec-covid,rr,5,0.01,weighted,5,1664,0.330998935239954,0.330998935239954,0.11169155101344702,50,1
trec-covid,rr,5,0.01,active_judge,5,1664,0.8340655052543016,0.330998935239954,0.11169155101344702,50,1
