collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
dbpedia-entity,rr,10,0.01,active_judge,4,1219,981,0,0,0.0,0.10129660844602342,0.04041248673557848,0.05519826206047433,0.01,399,4,56
dbpedia-entity,rr,10,0.01,strat_pilot,4,1209,981,0,0,0.0,0.04021615422688903,0.04041248673557848,0.05519826206047433,0.01,399,4,56
dbpedia-entity,rr,10,0.01,weighted_cv,4,1211,981,0,0,0.0,0.031005717625871156,0.04041248673557848,0.05519826206047433,0.01,399,4,56
dbpedia-entity,rr,10,0.01,active_cv,4,1194,981,0,0,0.0,0.04340793142661518,0.04041248673557848,0.05519826206047433,0.01,399,4,56
dbpedia-entity,rr,10,0.01,weighted_cvl,4,1196,981,0,0,0.0,0.021264585188018346,0.04041248673557848,0.05519826206047433,0.01,399,4,56
dbpedia-entity,rr,10,0.01,uniform,5,1347,1047,0,0,0.009064575497826466,0.12145381620895201,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,uniform_nz,5,1359,1047,0,0,0.009064575497826466,0.07492116718903849,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,weighted,5,1357,1047,0,0,0.009064575497826466,0.052839105559417954,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,active_judge,5,1345,1047,0,0,0.009064575497826466,0.13372086821939896,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,strat_pilot,5,1361,1047,0,0,0.009064575497826466,0.053079506956651576,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,weighted_cv,5,1325,1047,0,0,0.009064575497826466,0.06131501923504852,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,active_cv,5,1360,1047,0,0,0.009064575497826466,0.10505952069722022,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,weighted_cvl,5,1336,1047,0,0,0.009064575497826466,0.03869779360805563,0.052839105559417954,0.013088353789083018,0.0009354245021735343,399,4,78
dbpedia-entity,rr,10,0.01,uniform,6,1225,1029,0,0,0.0,0.10430834364179709,0.04312727553747525,0.030841246852276273,0.01,399,4,56
