collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
webis-touche2020,rr,1,0.01,uniform,0.056666666666666664,0.0,0.12786606112047888,783.4366666666666,758.96,0.0,shared,full,t,0.013333333333333334,0.06333333333333334
webis-touche2020,rr,1,0.01,uniform_nz,0.06333333333333334,0.0,0.08104861093600854,782.9933333333333,758.96,0.0,shared,full,t,0.0,0.06
webis-touche2020,rr,1,0.01,weighted,0.07,0.0,0.061616336458711875,783.12,758.96,0.0,shared,full,t,0.01,0.07333333333333333
webis-touche2020,rr,1,0.01,active_judge,0.043333333333333335,0.0,0.14029584640176684,782.9633333333334,758.96,0.0,shared,full,t,0.01,0.043333333333333335
webis-touche2020,rr,1,0.01,strat_pilot,0.05,0.0,0.06454179226444424,782.9866666666667,758.96,0.0,shared,full,t,0.013333333333333334,0.05
webis-touche2020,rr,1,0.01,weighted_cv,0.09,0.0,0.05475708929712193,782.6133333333333,758.96,0.0,shared,full,t,0.02,0.09333333333333334
webis-touche2020,rr,1,0.01,active_cv,0.11333333333333333,0.0,0.09065671558462848,783.06,758.96,0.0,shared,full,t,0.02,0.1
webis-touche2020,rr,1,0.01,weighted_cvl,0.06333333333333334,0.0,0.05486077949573788,783.2633333333333,758.96,0.0,shared,full,t,0.01,0.06666666666666667
webis-touche2020,rr,1,0.02,uniform,0.11333333333333333,0.0,0.131282568039932,783.7233333333334,758.97,0.0,shared,full,t,0.02,0.12666666666666668
webis-touche2020,rr,1,0.02,uniform_nz,0.08666666666666667,0.0,0.08673398450986346,783.0566666666666,758.97,0.0,shared,full,t,0.016666666666666666,0.08333333333333333
webis-touche2020,rr,1,0.02,weighted,0.09666666666666666,0.0,0.06733422140776374,783.0066666666667,758.97,0.0,shared,full,t,0.01,0.10333333333333333
webis-touche2020,rr,1,0.02,active_judge,0.056666666666666664,0.0,0.14876565812811085,783.5366666666666,758.97,0.0,shared,full,t,0.01,0.05
webis-touche2020,rr,1,0.02,strat_pilot,0.08333333333333333,0.0,0.0708765013955653,783.0166666666667,758.97,0.0,shared,full,t,0.02,0.08666666666666667
webis-touche2020,rr,1,0.02,weighted_cv,0.13,0.0,0.0546993261358836,783.5033333333333,758.97,0.0,shared,full,t,0.03333333333333333,0.13333333333333333
webis-touche2020,rr,1,0.02,active_cv,0.18333333333333332,0.0,0.09975156287033625,783.4966666666667,758.97,0.0,shared,full,t,0.02,0.15333333333333332
webis-touche2020,rr,1,0.02,weighted_cvl,0.11333333333333333,0.0,0.0507932419425328,782.75,758.97,0.0,shared,full,t,0.02666666666666667,0.11
