collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,n_queries,n_train,cand,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
trec-covid,llm,5,0.01,uniform,0,812,1.1037660774420803,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,1.1019933636654495,1.105538791218711,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,uniform_nz,0,812,0.613963461416073,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.6128578486977624,0.6150690741343836,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,weighted,0,812,0.323274083721505,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.32351952711050963,0.32302864033250045,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,active_judge,0,812,1.541214736093534,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,1.5412303665982172,1.5411991055888508,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,strat_pilot,0,812,0.3280062737400592,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.32835724066961547,0.3276553068105029,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,weighted_cv,0,812,0.0990408506377953,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.09753821422561013,0.10054348704998044,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,active_cv,0,812,0.4603051921642215,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.4613131515011185,0.45929723282732426,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,weighted_cvl,0,812,0.2293925242731484,0.323274083721505,0.06489721178171018,0.005961662587641616,50,10,1,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.23641267098514213,0.22237237756115472,0.32351952711050963,0.32302864033250045
trec-covid,llm,5,0.01,uniform,1,853,1.1765897377393595,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,1.1663361970374617,1.1868432784412573,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,uniform_nz,1,853,0.612357085581962,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,0.6070319611853983,0.6176822099785257,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,weighted,1,853,0.3251848536097977,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,0.3239388029874498,0.3264309042321455,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,active_judge,1,853,1.153599560464487,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,1.1478281547527684,1.159370966176206,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,strat_pilot,1,853,0.325760401061187,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,0.32476118050426944,0.32675962161810446,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,weighted_cv,1,853,0.06746379977085196,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,0.06763754070427119,0.06729005883743269,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,active_cv,1,853,0.15581832110433386,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,0.14846861107808687,0.1631680311305809,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,weighted_cvl,1,853,0.06728204707265614,0.3251848536097977,0.086871453586309,0.025999057491956766,50,10,1,0.08687145358630903,0.086871453586309,0.025999057491956766,0.09735436427133924,0.027579592057272492,0.06724717917734215,0.06731691496797013,0.3239388029874498,0.3264309042321455
trec-covid,llm,5,0.01,uniform,2,825,2.437859282609976,0.2790390123524176,0.05065558222052073,0.006078515476084009,50,10,1,0.04961210395965118,0.05065558222052073,0.006078515476084009,0.05082478723115795,0.0058391076571162924,2.4331828229293917,2.4425357422905596,0.27513514243825865,0.28294288226657677
trec-covid,llm,5,0.01,uniform_nz,2,825,1.0625845383047188,0.2790390123524176,0.05065558222052073,0.006078515476084009,50,10,1,0.04961210395965118,0.05065558222052073,0.006078515476084009,0.05082478723115795,0.0058391076571162924,1.0601022636140347,1.0650668129954035,0.27513514243825865,0.28294288226657677
trec-covid,llm,5,0.01,weighted,2,825,0.2790390123524176,0.2790390123524176,0.05065558222052073,0.006078515476084009,50,10,1,0.04961210395965118,0.05065558222052073,0.006078515476084009,0.05082478723115795,0.0058391076571162924,0.27513514243825865,0.28294288226657677,0.27513514243825865,0.28294288226657677
trec-covid,llm,5,0.01,active_judge,2,825,1.2597849451007745,0.2790390123524176,0.05065558222052073,0.006078515476084009,50,10,1,0.04961210395965118,0.05065558222052073,0.006078515476084009,0.05082478723115795,0.0058391076571162924,1.2435030701013479,1.2760668201002008,0.27513514243825865,0.28294288226657677
